thomas,托马斯
kraft,克拉夫特
georg,格奥尔格
schwarzenbeck,施瓦岑贝克
giovane,吉奥瓦尼
élber,埃尔伯
martin,马丁
schulz,舒尔茨
angela,安格拉
merkel,默克尔
sabine,扎比内
bau,鲍
roman,罗曼
neustädter,诺伊施泰特
elmar,埃尔马
borrmann,博尔曼
robert,罗伯特
felisiak,费利西亚克
ferdinand,斐迪南
tönnies,滕尼斯
dirk,迪尔克
nowitzki,诺维茨基
richard,理查德
david,大卫
precht,普雷希特
luise,路易丝
rainer,赖纳
albert,阿尔伯特
einstein,爱因斯坦
carl,卡尔
amery,阿莫瑞
franz,弗朗茨
mehring,梅林
jürgen,于尔根
grabowski,格拉博夫斯基
bernd,贝恩德
hölzenbein,赫尔岑拜因
peter,彼得
sloterdijk,斯洛特戴克
tom,汤姆
schilling,希林
fritz,弗里茨
lang,朗
emre,埃姆雷
can,詹
james,詹姆斯
krüss,克吕斯
helmut,赫尔穆特
kohl,科尔
kurt,库尔特
kiesinger,基辛格
gerhard,格哈德
schröder,施罗德
ludwig,路德维希
erhard,埃哈德
udo,乌多
wagner,瓦格纳
bastian,巴斯蒂安
schweinsteiger,施魏因斯泰格
orff,奥尔夫
rudi,鲁迪
lochner,洛赫纳
günter,君特
netzer,内策尔
werner,维尔纳
herzog,赫尔佐克
arnd,阿恩德
schmitt,施米特
müller,米勒
maria,玛丽亚
woelki,沃尔基
markus,马库斯
wasmeier,瓦斯迈尔
ulrich,乌尔里希
schreck,施雷克
sepp,塞普
maier,迈尔
rudolf,鲁道夫
mößbauer,穆斯堡尔
max,马克斯
klinger,克林格尔
trixi,特丽西
worrack,沃拉克
christian,克里斯蒂安
wulff,武尔夫
silvio,西尔维奥
gesell,格塞尔
joachim,约阿希姆
gauck,高克
björn,比约恩
otto,奥托
storl,施托尔
harting,哈丁
schmidt,施密特
eike,埃克
batista,巴蒂斯塔
karl,卡尔
albrecht,阿尔布雷希特
wlaschiha,拉斯齐哈
walter,瓦尔特
horst,霍斯特
köhler,克勒
paul,保罗
breitner,布莱特纳
völler,沃勒尔
franzl,弗朗茨
konrad,康拉德
adenauer,阿登纳
zedd,捷德
gonzalo,干沙路
castro,卡斯度
marc,马克
forster,福斯特
ulrike,乌尔丽克
nassemeyfarth,迈法特
schick,希克
hanna,汉娜
schygulla,许古拉
ingo,英戈
weißenborn,魏森博恩
reinhard,赖因哈德
marx,马克思
thorsten,托尔斯滕
weidner,魏德纳
von,冯
stuck,施图克
alexander,亚历山大
koch,科赫
bonhof,邦霍夫
bernhard,伯恩哈德
langer,兰格
lehmann,莱曼
johannes,约翰内斯
rau,劳
stefan,斯特凡
bötticher,伯蒂歇尔
steuerwald,斯图瓦特
bütikofer,比蒂科夫
uli,乌利
hoeneß,赫内斯
herbert,赫伯特
klein,克莱因
schuster,舒斯特
feodor,费奥多尔
lynen,吕嫩
ernst,恩斯特
fischer,菲舍尔
mario,马里奥
gómez,戈麦斯
meyer,迈尔
filip,菲利普
adamski,亚当斯基
jochen,约亨
rindt,林特
josef,约瑟夫
strauß,施特劳斯
seehofer,泽霍费尔
sidney,西德尼
sam,萨姆
eucken,奥伊肯
beckenbauer,贝肯鲍尔
katrin,卡特琳
göringeckardt,艾卡特
hermann,赫尔曼
staudinger,施陶丁格
annesophie,安娜苏菲
mutter,穆特
uwe,乌韦
rahn,拉恩
erich,埃里希
remarque,雷马克
pierre,皮埃尔
littbarski,利特巴尔斯基
otfried,奥飞
preußler,普思乐
andreas,安德烈亚斯
ottl,奥特尔
weizsäcker,魏茨泽克
scheel,谢尔
carstens,卡斯滕斯
gustav,古斯塔夫
heinemann,海涅曼
heinrich,海因里希
lübke,吕布克
ursel,乌塞尔
brunner,布伦纳
theodor,特奥多尔
heuss,豪斯
egon,埃贡
krenz,克伦茨
manfred,曼弗雷德
gerlach,格拉赫
honecker,昂纳克
lothar,洛塔尔
matthäus,马特乌斯
seeler,泽勒
friedrich,弗里德里希
ebert,埃伯特
marcel,马塞尔
reichranicki,莱希拉尼基
haken,哈肯
bloch,布洛赫
oliver,奥利弗
riedel,里德尔
ottmar,奥特马
hitzfeld,希茨费尔德
rita,丽塔
könig,柯尼希
birol,比罗尔
ünel,于内尔
anja,安雅
fichtel,菲希特尔
monika,莫妮卡
weber,韦伯
edmund,埃德蒙
stoiber,斯托伊贝
effenberg,埃芬伯格
hans,汉斯
magnus,马格努斯
enzensberger,恩岑斯贝格尔
hesse,黑塞
herta,赫塔
bernard,伯纳德
katz,卡茨
jonas,约纳斯
reckermann,雷克曼
laura,劳拉
eugen,欧根
polanski,波兰斯基
julius,尤利乌斯
brink,布林克
löw,勒夫
wilfried,维尔弗里德
dietrich,迪特里希
adolf,阿道夫
butenandt,布特南特
kirch,基希
betty,贝蒂
heidler,海德勒
sandra,桑德拉
bullock,布拉克
wolfgang,沃尔夫冈
overath,奥弗拉特
ronny,罗尼
günther,金特
beckstein,贝克施泰因
raphael,拉斐尔
schäfer,舍费尔
rubens,鲁本斯
söder,索德尔
alfred,阿尔弗雷德
schwarzmann,施瓦茨曼
tim,蒂姆
hoogland,霍格兰
collatz,考拉兹
frank,弗兰克
ordenewitz,奥尔德内维茨
christina,克里斯蒂娜
obergföll,奥贝格弗尔
hackl,哈克尔
linda,琳达
stahl,施塔尔
adrian,阿德里安
sutil,苏蒂尔
peer,皮尔
steinbrück,施泰因布吕克
schweitzer,史怀哲
margot,玛戈
raab,拉布
agnes,阿格尼丝
pockels,波克尔斯
grass,格拉斯
valerius,瓦勒留斯
cordus,科尔杜斯
stöck,施特克
karlhans,卡尔汉斯
riehm,里姆
böll,伯尔
lampe,兰珀
herbig,赫比希
ewaldheinrich,埃瓦尔德海因里希
kleist,克莱斯特舒曼森
harald,哈拉尔德
schmid,施密德
vlastimil,弗拉斯季米尔
hort,霍特
agnesmaria,阿格尼丝
andechsmeranien,梅拉涅
lena,莱娜
meyerlandrut,迈尔兰德鲁特
toni,托尼
garrn,伽姆
christoph,克里斯托夫
blumhardt,布鲁哈德
noth,诺特
ehrler,埃尔勒
heidi,海迪
biebl,比布尔
philipp,菲利普
lahm,拉姆
sebastian,塞巴斯蒂安
vettel,维泰尔
lubitsch,刘别谦
gerd,格尔德
sami,萨米
khedira,赫迪拉
weiß,魏斯
hilde,希尔德
schrader,施拉德
tommy,托米
haas,哈斯
