françois hollande,弗朗索瓦·奥朗德,fú lǎng suǒ wǎ · ào lǎng dé
jeanfrançois champollion,让弗朗索瓦·商博良,ràng fú lǎng suǒ wǎ · shāng bó liáng
guibert de nogent,吉贝尔·德·诺让,jí bèi ěr · dé · nuò ràng
pierre abélard,皮埃尔·阿伯拉尔,pí āi ěr · ā bǎi lā ěr
joachim du bellay,约阿希姆·杜·贝莱,yuē ā xī mǔ · dù · bèi lái
charles baudelaire,夏尔·波德莱尔,xià ěr · bō dé lái ěr
arthur rimbaud,阿蒂尔·兰波,ā dì ěr · lán bō
luigi cherubini,路易吉·凯鲁比尼,lù yì jí · kǎi lǔ bǐ ní
jeanmartin charcot,让马丁·沙可,ràng mǎ dīng · shā kě
adrien rabiot,阿德里安·拉比奥,ā dé lǐ ān · lā bǐ ào
yassine benzia,雅辛·本齐亚,yǎ xīn · běn qí yà
le corbusier,勒·柯布西耶,lè · kē bù xī yē
jean jaurès,尚·饶勒斯,shàng · ráo lè sī
paul doumer,保罗·杜美,bǎo luó · dù měi
nicolas sarkozy,尼古拉·萨科齐,ní gǔ lā · sà kē qí
claude debussy,克洛德·德彪西,kè luò dé · dé biāo xī
bernard werber,柏纳·韦柏,bǎi nà · wéi bǎi
henry dunant,亨利·杜南,hēng lì · dù nán
aly cissokho,埃莱·西索科,āi lái · xī suǒ kē
chrétien de troyes,克雷蒂安·德·特鲁瓦,kè léi dì ān · dé · tè lǔ wǎ
stendhal,司汤达,sī tāng dá
michel rocard,米歇尔·罗卡尔,mǐ xiē ěr · luó kǎ ěr
paul morand,保罗·莫朗,bǎo luó · mò lǎng
bafétimbi gomis,巴费蒂姆比·戈米,bā fèi dì mǔ bǐ · gē mǐ
marcellin berthelot,马塞兰·贝特洛,mǎ sāi lán · bèi tè luò
michel pécheux,米歇尔·佩舍,mǐ xiē ěr · pèi shè
alexandre de chaumont,亚历山大·德·肖蒙,yà lì shān dà · dé · xiào méng
élisée reclus,埃利泽·雷克吕斯,āi lì zé · léi kè lǚ sī
françois de guise,法兰索瓦·德·吉斯,fǎ lán suǒ wǎ · dé · jí sī
bérénice bejo,贝热尼丝·贝乔,bèi rè ní sī · bèi qiáo
léon blum,莱昂·布鲁姆,lái áng · bù lǔ mǔ
alexandre léonard,亚历山大·赉安,yà lì shān dà · lài ān
bérénice marlohe,贝荷妮丝·玛赫洛,bèi hé nī sī · mǎ hè luò
avril lavigne,艾薇儿·拉维尼,ài wēi ér · lā wéi ní
michel hazanavicius,米歇尔·阿扎纳维西于斯,mǐ xiē ěr · ā zhā nà wéi xī yú sī
luce irigaray,路思·伊瑞葛来,lù sī · yī ruì gě lái
émile zola,埃米尔·左拉,āi mǐ ěr · zuǒ lā
alexis claude clairaut,亚历克西·克洛德·克莱罗,yà lì kè xī · kè luò dé · kè lái luó
claude monet,克劳德·莫奈,kè láo dé · mò nài
henry murger,亨利·穆杰,hēng lì · mù jié
octave mirbeau,奥克塔夫·米尔博,ào kè tǎ fū · mǐ ěr bó
auguste comte,奥古斯特·孔德,ào gǔ sī tè · kǒng dé
sarah bernhardt,莎拉·伯恩哈特,shā lā · bǎi ēn hā tè
jeanclaude killy,让克洛德·基利,ràng kè luò dé · jī lì
vilfredo pareto,维尔弗雷多·帕累托,wéi ěr fú léi duō · pà lèi tuō
gustave eiffel,古斯塔夫·埃菲尔,gǔ sī tǎ fū · āi fēi ěr
robert esnaultpelterie,罗贝尔·埃斯诺佩尔特里,luó bèi ěr · āi sī nuò pèi ěr tè lǐ
paul verlaine,保罗·魏尔伦,bǎo luó · wèi ěr lún
michel onfray,米歇·翁福雷,mǐ xiē · wēng fú léi
valérie barlois,瓦莱丽·巴尔瓦梅韦尔勒鲁,wǎ lái lì · bā ěr wǎ méi wéi ěr lè lǔ
alexandre lacazette,阿历山大·拿卡锡迪,ā lì shān dà · ná kǎ xī dí
marc planus,马克·普拉努斯,mǎ kè · pǔ lā nǔ sī
franck boidin,弗兰克·布瓦丹,fú lán kè · bù wǎ dān
sophie moresséepichot,索菲·莫雷塞皮绍,suǒ fēi · mò léi sāi pí shào
jeanmichel henry,让米歇尔·亨利,ràng mǐ xiē ěr · hēng lì
robert leroux,罗贝尔·勒鲁,luó bèi ěr · lè lǔ
stéphane mallarmé,斯特凡·马拉梅,sī tè fán · mǎ lā méi
évariste galois,埃瓦里斯特·伽罗瓦,āi wǎ lǐ sī tè · jiā luó wǎ
francis gillot,弗朗西斯·吉洛,fú lǎng xī sī · jí luò
sophie germain,索菲·热尔曼,suǒ fēi · rè ěr màn
bernard arnault,贝尔纳·阿尔诺,bèi ěr nà · ā ěr nuò
louis pasteur,路易·巴斯德,lù yì · bā sī dé
louis blériot,路易·布莱里奥,lù yì · bù lái lǐ ào
henri matisse,亨利·马蒂斯,hēng lì · mǎ dì sī
jacques chabandelmas,雅克·沙邦戴尔马,yǎ kè · shā bāng dài ěr mǎ
auguste rodin,奥古斯特·罗丹,ào gǔ sī tè · luó dān
jeanluc mélenchon,让吕克·梅朗雄,ràng lǚ kè · méi lǎng xióng
josé bové,若泽·博韦,ruò zé · bó wéi
jean moulin,让·穆兰,ràng · mù lán
marcel duchamp,马塞尔·杜尚,mǎ sāi ěr · dù shàng
gustave doré,古斯塔夫·多雷,gǔ sī tǎ fū · duō léi
andrémarie ampère,安德烈马里·安培,ān dé liè mǎ lǐ · ān péi
paul langevin,保罗·朗之万,bǎo luó · lǎng zhī wàn
françois bayrou,弗朗索瓦·贝鲁,fú lǎng suǒ wǎ · bèi lǔ
steed malbranque,斯蒂德·马尔布兰克,sī dì dé · mǎ ěr bù lán kè
adolphe thiers,阿道夫·梯也尔,ā dào fū · tī yě ěr
édouard balladur,爱德华·巴拉迪尔,ài dé huá · bā lā dí ěr
raymond barre,雷蒙·巴尔,léi méng · bā ěr
pierrejoseph proudhon,皮埃尔约瑟夫·普鲁东,pí āi ěr yuē sè fū · pǔ lǔ dōng
adèle haenel,阿黛儿·艾奈尔,ā dài ér · ài nài ěr
hadi sacko,夏迪·沙高,xià dí · shā gāo
jean gabin,让·迦本,ràng · jiā běn
grégory sertic,格雷戈里·塞尔蒂奇,gé léi gē lǐ · sāi ěr dì qí
ludovic sané,拉明·萨内,lā míng · sà nèi
victor hugo,维克多·雨果,wéi kè duō · yǔ guǒ
héloïse,埃洛伊斯,āi luò yī sī
philippe pétain,菲利普·贝当,fēi lì pǔ · bèi dāng
andreï tarkovski,安德烈·塔尔科夫斯基,ān dé liè · tǎ ěr kē fū sī jī
hector berlioz,埃克托·柏辽兹,āi kè tuō · bǎi liáo zī
maurice ravel,莫里斯·拉威尔,mò lǐ sī · lā wēi ěr
marie curie,玛丽·居里,mǎ lì · jū lǐ
albert taillandier,阿尔贝·塔扬迪耶,ā ěr bèi · tǎ yáng dí yē
auguste daumain,奥古斯特·多曼,ào gǔ sī tè · duō màn
pierre bonnard,皮尔·波纳尔,pí ěr · bō nà ěr
grégory coupet,格雷戈里·库佩,gé léi gē lǐ · kù pèi
florian thauvin,弗洛里安·托万,fú luò lǐ ān · tuō wàn
rachida dati,拉希妲·达狄,lā xī dá · dá dí
édith piaf,艾迪特·皮雅芙,ài dí tè · pí yǎ fú
tony garnier,托尼·加尼耶,tuō ní · jiā ní yē
marcel boulenger,马塞尔·布朗热,mǎ sāi ěr · bù lǎng rè
anselme gaëtan desmarest,安塞尔姆·加埃唐·德马雷,ān sāi ěr mǔ · jiā āi táng · dé mǎ léi
jules verne,儒勒·凡尔纳,rú lè · fán ěr nà
fernand sanz,费尔南·桑,fèi ěr nán · sāng
rachi,辣什,là shén
eugène delacroix,欧仁·德拉克罗瓦,ōu rén · dé lā kè luó wǎ
étienne léopold trouvelot,艾蒂安·利奥波德·特鲁夫洛,ài dì ān · lì ào bō dé · tè lǔ fū luò
m'baye niang,麦比耶·尼安,mài bǐ yē · ní ān
stéphane audran,斯特凡娜·奥德朗,sī tè fán nà · ào dé lǎng
jeanpierre papin,让皮埃尔·帕潘,ràng pí āi ěr · pà pān
frédéric chopin,弗雷德里克·肖邦,fú léi dé lǐ kè · xiào bāng
léon walras,莱昂·瓦尔拉斯,lái áng · wǎ ěr lā sī
jeanbaptiste say,让巴蒂斯特·赛伊,ràng bā dì sī tè · sài yī
samuel umtiti,森姆·乌迪迪,sēn mǔ · wū dí dí
frédéric bastiat,弗雷德里克·巴斯夏,fú léi dé lǐ kè · bā sī xià
françoise sagan,佛兰西丝·莎岗,fó lán xī sī · shā gǎng
serge gainsbourg,塞尔日·甘斯布,sāi ěr rì · gān sī bù
mahiedine mekhissibenabbad,马耶迪内·梅基西贝纳巴,mǎ yē dí nèi · méi jī xī bèi nà bā
émile durkheim,埃米尔·涂尔干,āi mǐ ěr · tú ěr gān
