vika jigulina,ヴィカ・ジグリーナ,vika・jigurīna
lidia șimon,リディア・シモン,ridia・shimon
inna,インナ,inna
alexandra stan,アレクサンドラ・スタン,arekusandora・sutan
ikechi anya,イケチ・アンヤ,ikechi・anya
george emil palade,ジョージ・エミール・パラーデ,jōji・emīru・parāde
itzik manger,イツィク・マンゲル,itsiku・mangeru
ecaterina szabó,エカテリーナ・サボー,ekaterīna・sabō
elena gheorghe,エレナ・ゲオルゲ,erena・georuge
mircea lucescu,ミルチェア・ルチェスク,miruchea・ruchesuku
viorel moldovan,ヴィオレル・モルドヴァン,vioreru・morudovan
angela gheorghiu,アンジェラ・ゲオルギュー,anjera・georugyū
paul celan,パウル・ツェラン,pauru・tseran
andreea grigore,アンドレア・グリゴレ,andorea・gurigore
viorica ursuleac,ヴィオリカ・ウルスレアク,viorika・urusureaku
liviu librescu,リビウ・リブレスク,ribiu・riburesuku
răzvan raț,ラズヴァン・ラツ,razuvan・ratsu
gheorghe popescu,ゲオルゲ・ポペスク,georuge・popesuku
helmut duckadam,ヘルムート・ドゥカダム,herumūto・dukadamu
vali ionescu,バリ・イオネスク,bari・ionesuku
elena băsescu,エレナ・バセスク,erena・basesuku
iulian filipescu,イウリアン・フィリペスク,iurian・firipesuku
emil boc,エミール・ボック,emīru・bokku
cristian mungiu,クリスティアン・ムンジウ,kurisutian・munjiu
dan balan,ダン・バラン,dan・baran
victor hănescu,ビクトル・ハネスク,bikutoru・hanesuku
petre roman,ペトレ・ロマン,petore・roman
edward maya,エドワード・マヤ,edowādo・maya
angelica adelsteinrozeanu,アンジェリカ・ロゼアヌ,anjerika・rozeanu
anamaria marinca,アナマリア・マリンカ,anamaria・marinka
alma gluck,アルマ・グルック,aruma・gurukku
tristan tzara,トリスタン・ツァラ,torisutan・tsara
eugen coșeriu,エウジェニオ・コセリウ,eujenio・koseriu
nicolae văcăroiu,ニコラエ・ヴァカロイウ,nikorae・vakaroiu
bogdan lobonț,ボグダン・ロボンツ,bogudan・robontsu
elena ceaușescu,エレナ・チャウシェスク,erena・chaushesuku
simona halep,シモナ・ハレプ,shimona・harepu
iolanda balaș,ヨランダ・バラシュ,yoranda・barashu
ion antonescu,イオン・アントネスク,ion・antonesuku
alina plugaru,アリーナ・プルガル,arīna・purugaru
herta müller,ヘルタ・ミュラー,heruta・myurā
gabriela drăgoi,ガブリエラ・ドラゴイ,gaburiera・doragoi
daniel prodan,ダニエル・プロダン,danieru・purodan
irina spîrlea,イリナ・スピールリア,irina・supīruria
monica roșu,モニカ・ロシュ,monika・roshu
nadia comăneci,ナディア・コマネチ,nadia・komanechi
iasmin latovlevici,ヤスミン・ラトヴリェヴィッチ,yasumin・ratovuriェvitchi
mihai antonescu,ミハイ・アントネスク,mihai・antonesuku
eugen ionescu,ウジェーヌ・イヨネスコ,ujēnu・iyonesuko
dinu lipatti,ディヌ・リパッティ,dinu・ripatti
florian pop,フロリアン・ポップ,furorian・poppu
vlad munteanu,ヴラド・ムンテアヌ,vurado・munteanu
dudu georgescu,ドゥドゥ・ゲオルゲスク,dudu・georugesuku
györgy kurtág,クルターグ・ジェルジュ,kurutāgu・jeruju
gheorghe dima,ゲオルゲ・ディマ,georuge・dima
marțian negrea,マルツィアン・ネグレア,marutsian・negurea
traian băsescu,トラヤン・バセスク,torayan・basesuku
nicolae timofti,ニコラエ・ティモフティ,nikorae・timofuti
mihai răzvan ungureanu,ミハイ・ラズヴァン・ウングレアーヌ,mihai・razuvan・ungureānu
sorana cîrstea,ソラナ・チルステア,sorana・chirusutea
monica niculescu,モニカ・ニクレスク,monika・nikuresuku
emil constantinescu,エミル・コンスタンティネスク,emiru・konsutantinesuku
ciprian marica,チプリアン・マリカ,chipurian・marika
gabriela szabó,ガブリエラ・サボー,gaburiera・sabō
ana pauker,アナ・パウケル,ana・paukeru
alexandra dulgheru,アレクサンドラ・ドゥルゲル,arekusandora・durugeru
aurelia dobre,アウレリア・ドブレ,aureria・dobure
ruxandra dragomir,ルクサンドラ・ドラゴミル,rukusandora・doragomiru
adrian năstase,アドリアン・ナスタセ,adorian・nasutase
beatrice câșlaru,ベアトリチェ・カスラル,beatoriche・kasuraru
constantin brâncuși,コンスタンティン・ブランクーシ,konsutantin・burankūshi
cleopatra stratan,クレオパトラ・ストラタン,kureopatora・sutoratan
henri coandă,アンリ・コアンダ,anri・koanda
gheorghe zamfir,ゲオルゲ・ザンフィル,georuge・zanfiru
gabriel tamaș,ガブリエル・タマシュ,gaburieru・tamashu
vlad filat,ヴラド・フィラト,vurado・firato
victor ponta,ヴィクトル・ポンタ,vikutoru・ponta
andrei pavel,アンドレイ・パベル,andorei・paberu
florica musicescu,フロリカ・ムジチェスク,furorika・mujichesuku
maia morgenstern,マヤ・モルゲンステルン,maya・morugensuterun
ion iliescu,イオン・イリエスク,ion・iriesuku
ana maria brânză,アナ・マリア・ポペスク,ana・maria・popesuku
paula ivan,パウラ・イバン,paura・iban
doina melinte,ドイナ・メリンテ,doina・merinte
ana blandiana,アナ・ブランディアナ,ana・burandiana
sorin ghionea,ソリン・ギオネア,sorin・gionea
simona amânar,シモナ・アマナール,shimona・amanāru
paula seling,パウラ・セリング,paura・seringu
daniela silivaș,ダニエラ・シリバシュ,daniera・shiribashu
linda maria baros,リンダ・マリア・バロス,rinda・maria・barosu
gheorghe hagi,ゲオルゲ・ハジ,georuge・haji
sandra romain,サンドラ・ロマン,sandora・roman
larisa iordache,ラリサ・ヨルダケ,rarisa・yorudake
virginia ruzici,バージニア・ルジッチ,bājinia・rujitchi
ștefan radu,シュテファン・ラドゥ,shutefan・radu
sergiu celibidache,セルジュ・チェリビダッケ,seruju・cheribidakke
ladislau bölöni,ラースロー・ベレニ,rāsurō・bereni
lászló sepsi,ラースロー・セプシ,rāsurō・sepushi
ovidiu cernăuțeanu,オヴィディウ・チェルナウツェアヌ,ovidiu・cherunautseanu
harvey keitel,ハーヴェイ・カイテル,hāvuェi・kaiteru
maria cioncan,マリア・チオンカン,maria・chionkan
ileana cotrubaș,イレアナ・コトルバシュ,ireana・kotorubashu
jean negulesco,ジーン・ネグレスコ,jīn・neguresuko
emil cioran,エミール・シオラン,emīru・shioran
pavel badea,パベル・バデア,paberu・badea
panait istrati,パナイト・イストラティ,panaito・isutorati
adrian mutu,アドリアン・ムトゥ,adorian・mutu
zoia ceaușescu,ゾヤ・チャウシェスク,zoya・chaushesuku
arthur segal,アーサー・シーガル,āsā・shīgaru
cristian chivu,クリスティアン・キヴ,kurisutian・kivu
maricica puică,マリチカ・プイカ,marichika・puika
liane de pougy,リアーヌ・ド・プジー,riānu・do・pujī
anișoara cușmirstanciu,アニショアラ・スタンチウ,anishoara・sutanchiu
mihaela peneș,ミハエラ・ペネシュ,mihaera・peneshu
diana mocanu,ディアナ・モカヌ,diana・mokanu
camelia potec,カメリア・ポテク,kameria・poteku
alexandru averescu,アレクサンドル・アヴェレスク,arekusandoru・avuェresuku
rose ausländer,ローゼ・アウスレンダー,rōze・ausurendā
artur phleps,アルトゥール・フレプス,arutūru・furepusu
alina astafei,アリーナ・アスタフェイ,arīna・asutafei
mihaela ursuleasa,ミハエラ・ウルスレアサ,mihaera・urusureasa
emeric jenei,エメリック・イェネイ,emerikku・yenei
daniel niculae,ダニエル・ニクラエ,danieru・nikurae
walter zenga,ワルテル・ゼンガ,waruteru・zenga
cosmin contra,コスミン・コントラ,kosumin・kontora
