key,value
rīga,里加
jelgava,叶尔加瓦
ventspils,文茨皮尔斯
jēkabpils,耶卡布皮尔斯
sigulda,西古尔达
limbaži,林巴兹
iecava,艾察瓦
zilupe,齐卢佩
seda,塞达
aknīste,阿克尼斯特
staicele,斯泰策勒
code,科代
šķesteri,什克斯特里
allaži,阿拉兹
piltene,皮尔特内
evika,埃维卡
krišjānis,克里沙尼斯
māris,马里斯
laimdota,莱姆多塔
valdis,瓦尔迪斯
zane,扎内
sandris,桑德里斯
jānis,扬尼斯
valda,瓦尔达
linda,琳达
milda,米尔达
dainis,达伊尼斯
uldis,乌尔迪斯
maruta,玛鲁塔
edvards,爱德华兹
siliņa,西里尼娜
kariņš,卡林什
kučinskis,库钦斯基斯
straujuma,斯特劳尤玛
dombrovskis,多姆布罗夫斯基斯
bičevska,比切夫斯卡
lācis,拉奇斯
priede,普里德
kļava,克拉瓦
daniela,丹妮埃拉
pūpole,普波勒
tukāns,图坎斯
rokpelnis,罗克佩尔尼斯
brūvere,布鲁韦雷
rečickis,雷奇茨基斯
