angela,앙겔라,anggelra
merkel,메르켈,mereukel
martin,마르틴,mareutin
schulz,슐츠,syulceu
georg,게오르크,georeukeu
schwarzenbeck,슈바르첸베크,syubareucenbekeu
giovane,지오바니,jiobani
élber,에우베르,eubereu
thomas,토마스,tomaseu
kraft,크라프트,keurapeuteu
roman,로만,roman
neustädter,노이슈테터,noisyuteteo
paul,파울,paul
deussen,도이센,doisen
reinhold,라인홀트,rainholteu
schünzel,쉰첼,swincel
franzl,프란츨,peuranceul
lang,랑,rang
gonzalo,곤살로,gonsalro
castro,카스트로,kaseuteuro
robert,로베르트,robereuteu
harting,하르팅,hareuting
arno,아르노,areuno
peters,페터스,peteoseu
marc,마르크,mareukeu
forster,포르스터,poreuseuteo
reinhard,라인하르트,rainhareuteu
marx,마르크스,mareukeuseu
jürgen,위르겐,wireugen
grabowski,그라보프스키,geurabopeuseuki
romano,로마노,romano
guardini,구아르디니,guareudini
alexander,알렉산더,alregsandeo
koch,코흐,koheu
konrad,콘라트,konrateu
adenauer,아데나워,adenaweo
hanna,하나,hana
schygulla,쉬굴라,swigulra
hans,한스,hanseu
wilsdorf,빌스도르프,bilseudoreupeu
dirk,디르크,direukeu
nowitzki,노비츠키,nobiceuki
ulrike,울리케,ulrike
nassemeyfarth,마이파르트,maipareuteu
zedd,제드,jedeu
walter,발터,balteo
kasper,카스퍼,kaseupeo
carl,카를,kareul
orff,오르프,oreupeu
bernhard,베른하르트,bereunhareuteu
langer,랑거,ranggeo
rainer,라이너,raineo
bonhof,본호프,bonhopeu
sterzinsky,스테르진스키,seutereujinseuki
luise,루이제,ruije
fritz,프리츠,peuriceu
tom,톰,tom
schilling,실링,silring
ludwig,루트비히,ruteubihi
erhard,에르하르트,ereuhareuteu
kurt,쿠르트,kureuteu
kiesinger,키징거,kijinggeo
ferdinand,페르디난트,pereudinanteu
tönnies,퇴니스,toeniseu
helmut,헬무트,helmuteu
schmidt,슈미트,syumiteu
max,막스,magseu
klinger,클링거,keulringgeo
joachim,요아힘,yoahim
meisner,마이스너,maiseuneo
patrick,파트리크,pateurikeu
ebert,에베르트,ebereuteu
emre,엠레,emre
can,잔,jan
gerhard,게르하르트,gereuhareuteu
müller,뮐러,mwilreo
franz,프란츠,peuranceu
xaver,크사버,keusabeo
schwarz,슈바르츠,syubareuceu
thoma,토마,toma
albrecht,알브레히트,albeurehiteu
von,폰,pon
bayern,바이에른,baiereun
