thomas kraft,托马斯·克拉夫特,tuō mǎ sī · kè lā fū tè
georg schwarzenbeck,格奥尔格·施瓦岑贝克,gé ào ěr gé · shī wǎ cén bèi kè
giovane élber,吉奥瓦尼·埃尔伯,jí ào wǎ ní · āi ěr bǎi
martin schulz,马丁·舒尔茨,mǎ dīng · shū ěr cí
angela merkel,安格拉·默克尔,ān gé lā · mò kè ěr
sabine bau,扎比内·鲍,zhā bǐ nèi · bào
roman neustädter,罗曼·诺伊施泰特,luó màn · nuò yī shī tài tè
elmar borrmann,埃尔马·博尔曼,āi ěr mǎ · bó ěr màn
robert felisiak,罗伯特·费利西亚克,luó bǎi tè · fèi lì xī yà kè
ferdinand tönnies,斐迪南·滕尼斯,fěi dí nán · téng ní sī
dirk nowitzki,德克·诺维茨基,dé kè · nuò wéi cí jī
richard david precht,理查德·大卫·普雷希特,lǐ chá dé · dà wèi · pǔ léi xī tè
luise rainer,露薏丝·蕾娜,lù yì sī · lěi nà
albert einstein,阿尔伯特·爱因斯坦,ā ěr bǎi tè · ài yīn sī tǎn
carl amery,卡尔·阿莫瑞,kǎ ěr · ā mò ruì
franz mehring,弗兰茨·梅林,fú lán cí · méi lín
jürgen grabowski,尤尔根·格拉博夫斯基,yóu ěr gēn · gé lā bó fū sī jī
bernd hölzenbein,贝恩德·赫尔岑拜因,bèi ēn dé · hè ěr cén bài yīn
peter sloterdijk,彼德·斯洛特戴克,bǐ dé · sī luò tè dài kè
tom schilling,汤姆·希林,tāng mǔ · xī lín
fritz lang,弗里茨·朗,fú lǐ cí · lǎng
emre can,埃姆雷·詹,āi mǔ léi · zhān
james krüss,詹姆斯·克吕斯,zhān mǔ sī · kè lǚ sī
helmut kohl,赫尔穆特·科尔,hè ěr mù tè · kē ěr
kurt georg kiesinger,库尔特·乔治·基辛格,kù ěr tè · qiáo zhì · jī xīn gé
gerhard schröder,格哈特·施罗德,gé hā tè · shī luó dé
ludwig erhard,路德维希·艾哈德,lù dé wéi xī · ài hā dé
udo wagner,乌多·瓦格纳,wū duō · wǎ gé nà
bastian schweinsteiger,巴斯蒂安·施魏因斯泰格,bā sī dì ān · shī wèi yīn sī tài gé
carl orff,卡尔·奥尔夫,kǎ ěr · ào ěr fū
rudi lochner,鲁道夫·洛赫纳,lǔ dào fū · luò hè nà
günter netzer,君特·内策尔,jūn tè · nèi cè ěr
werner herzog,韦纳·荷索,wéi nà · hé suǒ
arnd schmitt,阿恩德·施米特,ā ēn dé · shī mǐ tè
gerhard ludwig müller,吉拉·类斯·缪勒,jí lā · lèi sī · miù lè
rainer maria woelki,莱内·玛利亚·沃尔基,lái nèi · mǎ lì yà · wò ěr jī
markus wasmeier,马库斯·瓦斯迈尔,mǎ kù sī · wǎ sī mài ěr
ulrich schreck,乌尔里希·施雷克,wū ěr lǐ xī · shī léi kè
sepp maier,塞普·迈尔,sāi pǔ · mài ěr
rudolf mößbauer,鲁道夫·穆斯堡尔,lǔ dào fū · mù sī bǎo ěr
max klinger,马克斯·克林格尔,mǎ kè sī · kè lín gé ěr
trixi worrack,特丽西·沃拉克,tè lì xī · wò lā kè
christian wulff,克里斯蒂安·武尔夫,kè lǐ sī dì ān · wǔ ěr fū
silvio gesell,西尔维奥·格塞尔,xī ěr wéi ào · gé sāi ěr
joachim gauck,约阿希姆·高克,yuē ā xī mǔ · gāo kè
björn otto,比约恩·奥托,bǐ yuē ēn · ào tuō
david storl,达维德·施托尔,dá wéi dé · shī tuō ěr
robert harting,罗伯特·哈丁,luó bǎi tè · hā dīng
helmut schmidt,赫尔穆特·施密特,hè ěr mù tè · shī mì tè
eike batista,埃克·巴蒂斯塔,āi kè · bā dì sī tǎ
karl albrecht,卡尔·阿尔布雷希特,kǎ ěr · ā ěr bù léi xī tè
tom wlaschiha,汤姆·拉斯齐哈,tāng mǔ · lā sī qí hā
fritz walter,弗里茨·瓦尔特,fú lǐ cí · wǎ ěr tè
horst köhler,霍斯特·克勒,huò sī tè · kè lè
paul breitner,保罗·布莱特纳,bǎo luó · bù lái tè nà
rudi völler,鲁迪·沃勒尔,lǔ dí · wò lè ěr
franzl lang,弗朗茨·朗,fú lǎng cí · lǎng
konrad adenauer,康拉德·阿登纳,kāng lā dé · ā dēng nà
zedd,捷德,jié dé
gonzalo castro,干沙路·卡斯度,gān shā lù · kǎ sī dù
marc forster,马克·福斯特,mǎ kè · fú sī tè
ulrike nassemeyfarth,乌尔丽克·迈法特,wū ěr lì kè · mài fǎ tè
ludwig schick,路德维希·希克,lù dé wéi xī · xī kè
hanna schygulla,汉娜·许古拉,hàn nà · xǔ gǔ lā
ingo weißenborn,英戈·魏森博恩,yīng gē · wèi sēn bó ēn
reinhard marx,赖因哈德·马克思,lài yīn hā dé · mǎ kè sī
thorsten weidner,托尔斯滕·魏德纳,tuō ěr sī téng · wèi dé nà
franz von stuck,弗朗茨·冯·施图克,fú lǎng cí · féng · shī tú kè
alexander koch,亚历山大·科赫,yà lì shān dà · kē hè
rainer bonhof,赖纳·邦霍夫,lài nà · bāng huò fū
bernhard langer,伯纳德·兰格,bǎi nà dé · lán gé
karl lehmann,嘉禄·莱曼,jiā lù · lái màn
johannes rau,约翰内斯·劳,yuē hàn nèi sī · láo
stefan bötticher,斯特凡·伯蒂歇尔,sī tè fán · bǎi dì xiē ěr
markus steuerwald,马库斯·斯图瓦特,mǎ kù sī · sī tú wǎ tè
reinhard bütikofer,莱因哈德·比蒂科夫,lái yīn hā dé · bǐ dì kē fū
uli hoeneß,乌利·赫内斯,wū lì · hè nèi sī
herbert klein,赫伯特·克莱因,hè bǎi tè · kè lái yīn
bernd schuster,贝恩德·舒斯特尔,bèi ēn dé · shū sī tè ěr
feodor lynen,费奥多尔·吕嫩,fèi ào duō ěr · lǚ nèn
