key,value
rīga,리가
jelgava,옐가바
ventspils,벤트스필스
jēkabpils,예카브필스
sigulda,시굴다
limbaži,림바지
iecava,이에카바
zilupe,질루페
seda,세다
aknīste,악니스테
staicele,스타이체레
code,코드
ķesteri,케스테리
allaži,알라지
piltene,필테네
evika,에비카
krišjānis,크리슈야니스
māris,마리스
laimdota,라임도타
valdis,발디스
zane,자네
sandris,산드리스
jānis,야니스
valda,발다
linda,린다
milda,밀다
dainis,다이니스
uldis,울디스
maruta,마루타
edvards,에드바르즈
siliņa,실리냐
kariņš,카리뉴스
kučinskis,쿠친스키스
straujuma,스트라우유마
dombrovskis,돔브로브스키
bičevska,비체브스카
lācis,라치스
priede,프리에데
kļava,클라바
daniela,다니엘라
pūpole,푸폴레
tukāns,투칸스
rokpelnis,로크펠니스
brūvere,브루베레
rečickis,레치츠키스
