key,value
rīga,リーガ
jelgava,ヤーゲルフヴァ
ventspils,ヴェントスピルス
jēkabpils,イェーカブピルス
sigulda,シグルダ
limbaži,リンバージ
iecava,イェーカヴァ
zilupe,ジルペ
seda,セーダ
aknīste,アクニステ
staicele,スタイチェレ
code,コーデ
šķesteri,シュケステリ
allaži,アッラジ
piltene,ピルテーネ
evika,エヴィカ
krišjānis,クリシャーンス
māris,マーリス
laimdota,ライムドータ
valdis,ヴァルディス
zane,ザネ
sandris,サンドリス
jānis,ヤーンス
valda,ヴァルダ
linda,リンダ
milda,ミルダ
dainis,ダイニス
uldis,ウルディス
maruta,マルタ
edvards,エドヴァルダス
siliņa,シリニャ
kariņš,カリニシュ
kučinskis,クチンスキス
straujuma,ストラユーマ
dombrovskis,ドンブロフスキス
bičevska,ビチェフスカ
lācis,ラーツィス
priede,プリエデ
kļava,クラヴァ
daniela,ダニエラ
pūpole,プーポレ
tukāns,トゥカーンス
rokpelnis,ロックペルニス
brūvere,ブルヴェレ
rečickis,レチツキス
