key,value
rīga,リーガ
jelgava,イェルガヴァ
ventspils,ヴェンツピルス
jēkabpils,イェーカブピルス
sigulda,シグルダ
limbaži,リンバジ
iecava,イェツァヴァ
zilupe,ジルペ
seda,セダ
aknīste,アクニステ
staicele,スタイツェレ
code,コーデ
šķesteri,シュケステリ
allaži,アラージ
piltene,ピルテネ
evika,エヴィカ
krišjānis,クリシュヤーニス
māris,マーリス
laimdota,ライムドータ
valdis,ヴァルディス
zane,ザネ
sandris,サンドリス
jānis,ヤーニス
valda,ヴァルダ
linda,リンダ
milda,ミルダ
dainis,ダイニス
uldis,ウルディス
maruta,マルータ
edvards,エドヴァルド
siliņa,シリーニャ
kariņš,カリーニュ
kučinskis,クーチンスキス
straujuma,ストラウユマ
dombrovskis,ドンブロフスキス
bičevska,ビーチェフスカ
lācis,ラーチス
priede,プリエデ
kļava,クリャーヴァ
daniela,ダニエラ
pūpole,プーポレ
tukāns,トゥカーンス
rokpelnis,ロクペルニス
brūvere,ブルーヴェレ
rečickis,レーチキス
