vika,ヴィカ
jigulina,ジグリーナ
lidia,リディア
șimon,シモン
inna,インナ
alexandra,アレクサンドラ
stan,スタン
ikechi,イケチ
anya,アンヤ
george,ジョルジェ
emil,エミール
palade,パラーデ
itzik,イツィク
manger,マンゲル
ecaterina,エカテリーナ
szabó,サボー
elena,エレナ
gheorghe,ゲオルゲ
mircea,ミルチャ
lucescu,ルチェスク
viorel,ヴィオレル
moldovan,モルドヴァン
angela,アンジェラ
gheorghiu,ゲオルジウ
paul,パウル
celan,ツェラン
andreea,アンドレエア
grigore,グリゴーレ
viorica,ヴィオリカ
ursuleac,ウルスレアク
liviu,リヴィウ
librescu,リブレスク
răzvan,ラズヴァン
raț,ラツ
popescu,ポペスク
helmut,ヘルムート
duckadam,ドゥカダム
vali,バリ
ionescu,イオネスク
băsescu,バセスク
iulian,ユリアン
filipescu,フィリペスク
boc,ボック
cristian,クリスティアン
mungiu,ムンジウ
dan,ダン
balan,バラン
victor,ヴィクトル
hănescu,ハネスク
petre,ペトレ
roman,ロマン
edward,エドワード
maya,マヤ
angelica,アンジェリカ
adelsteinrozeanu,ロゼアヌ
anamaria,アナマリア
marinca,マリンカ
alma,アルマ
gluck,グルック
tristan,トリスタン
tzara,ツァラ
eugen,オイゲン
coșeriu,コセリウ
nicolae,ニコラエ
văcăroiu,ヴァカロイウ
bogdan,ボグダン
lobonț,ロボンツ
ceaușescu,チャウシェスク
simona,シモナ
halep,ハレプ
iolanda,ヨランダ
balaș,バラシュ
ion,イオン
antonescu,アントネスク
alina,アリーナ
plugaru,プルガル
herta,ヘルタ
müller,ミュラー
gabriela,ガブリエラ
drăgoi,ドラゴイ
daniel,ダニエル
prodan,プロダン
irina,イリナ
spîrlea,スピールリア
monica,モニカ
roșu,ロシュ
nadia,ナディア
comăneci,コマネチ
iasmin,ヤスミン
latovlevici,ラトヴリェヴィッチ
mihai,ミハイ
dinu,ディヌ
lipatti,リパッティ
florian,フロリアン
pop,ポップ
vlad,ヴラド
munteanu,ムンテアヌ
dudu,ドゥドゥ
georgescu,ジョルジェスク
györgy,クルターグ
kurtág,ジェルジュ
dima,ディマ
marțian,マルツィアン
negrea,ネグレア
traian,トライアン
timofti,ティモフティ
ungureanu,ウングレアーヌ
sorana,ソラナ
cîrstea,チルステア
niculescu,ニクレスク
constantinescu,コンスタンティネスク
ciprian,チプリアン
marica,マリカ
ana,アナ
pauker,パウケル
dulgheru,ドゥルゲル
aurelia,アウレリア
dobre,ドブレ
ruxandra,ルクサンドラ
dragomir,ドラゴミル
adrian,アドリアン
năstase,ナスターゼ
beatrice,ベアトリチェ
câșlaru,カスラル
constantin,コンスタンティン
brâncuși,ブランクーシ
cleopatra,クレオパトラ
stratan,ストラタン
henri,アンリ
