key,value
rīga,リーガ
jelgava,ヤーゲリャーヴァ
ventspils,ヴェントピルス
jēkabpils,イェーカブピルス
sigulda,シーグルダ
limbaži,リンバージ
iecava,イェーツァヴァ
zilupe,ジルペ
seda,セーダ
aknīste,アクニーステ
staicele,スターツェレ
code,コーデ
šķesteri,シケステリ
allaži,アラージ
piltene,ピルテーネ
evika,エヴィカ
krišjānis,クリシャーンス
māris,マールス
laimdota,ライムドタ
valdis,ヴァルディス
zane,ザネ
sandris,サンドリス
jānis,ヤーニス
valda,ヴァルダ
linda,リンダ
milda,ミルダ
dainis,ダイニス
uldis,ウルディス
maruta,マルタ
edvards,エドヴァルド
siliņa,シリニャ
kariņš,カリニェシュ
kučinskis,クチィンスキィ
straujuma,ストラウユーマ
dombrovskis,ドンブロフスキィ
bičevska,ビチェフスカ
lācis,ラーツィス
priede,プリーデ
kļava,クラーヴァ
daniela,ダニエラ
pūpole,プーポレ
tukāns,トゥカーンス
rokpelnis,ロックペルニス
brūvere,ブルヴェーレ
rečickis,レチツキィス
