Rome,로마
Turin,투린
Naples,나폴리
Milan,밀라노
Palermo,팔레르모
Italian Republic,이탈리아
Genoa,제노바
Florence,피렌체
Bologna,볼로냐
Bari,바리
Cagliari,칼리아리
Sardinia,사르데냐
Trieste,트리에스테
Siracusa,시라쿠사
Messina,메시나
Catanzaro,카탄차로
Verona,베로나
Venice,베니스
Trento,트렌토
Padova,파도바
Vatican City,바티칸
Sicilia,시칠리아
Mont Blanc,몽블랑 산
Aosta,아오스타
Lombardia,롬바르디아 주
Lecce,레체
Lazio,라치오 주
Emilia-Romagna,에밀리아로마냐 주
Toscana,토스카나 주
Puglia,풀리아 주
Piemonte,피에몬테 주
Veneto,베네토 주
Mantova,만토바 현
Leonardo da Vinci–Fiumicino Airport,로마 피우미치노 공항
Monte Rosa,몬테로사 산
Calabria,칼라브리아 주
Campora San Giovanni,캄포라산조반니
Sardegna,사르데냐 주
Crotone,크로토네
Campania,캄파니아 주
Boscoreale,보스코레알레
Lago di Bolsena,볼세나 호
Basilicata,바실리카타 주
Aprilia,아프릴리아
Liguria,리구리아 주
Friuli Venezia Giulia,프리울리베네치아줄리아 주
Lago Trasimeno,트라시메노 호
Santa Maria Capua Vetere,산타마리아카푸아베테레
Abruzzo,아브루초 주
Cremona,크레모나
Capua,카푸아
Regione Autonoma Valle d'Aosta,발레다오스타 주
Umbria,움브리아 주
Trentino-Alto Adige,트렌티노알토아디제 주
Nettuno,네투노
Molise,몰리세 주
Marche,마르케 주
Milano Malpensa Airport,밀라노 말펜사 공항
Ferrara,페라라
Aeolian Islands,에올리에 제도
Paola,파올라
Locri,로크리
Monte Etna,에트나 산
Europe,유럽
Candela,칸델라
Ardea,아르데아
Isola d'Elba,엘바 섬
Dragoni,드라고니
Spoleto,스폴레토
Capri,카프리 섬
Montignoso,몬티뇨소
Colosseum,콜로세움
Stadio Olimpico,스타디오 올림피코
Matterhorn,마터호른 산
Ales,알레스
Trapani,트라파니 현
Ragusa,라구사 현
Pula,풀라
Palermo,팔레르모 현
Messina,메시나 현
Lago,라고
Grimaldi,그리말디
Enna,엔나 현
Catania,카타니아 현
Canino,카니노
Campello sul Clitunno,캄펠로술클리툰노
Camigliano,카밀리아노
Burano,부라노
Buonconvento,부온콘벤토
Bonito,보니토
Bomarzo,보마르초
Bettona,베토나
Bellagio,벨라조
Bagnoregio,바뇨레조
Ausonia,아우소니아
Asciano,아시아노
Arrone,아로네
Arce,아르체
Aquino,아퀴노
Aquilonia,아퀼로니아
Antrodoco,안트로도코
Anterivo,안테리보
Monte Amiata,아미아타 산
Amelia,아멜리아
Alvito,알비토
Alviano,알비아노
Allerona,알레로나
Alife,알리페
Piazza San Marco,산마르코 광장
Larino,라리노
Guardialfiera,구아르디알피에라
Guardea,구아르데아
Gualdo Cattaneo,구알도카타네오
Isola del Giglio,이솔라델질리오
Gianicolo,자니콜로
Gesualdo,제수알도
Galluccio,갈루초
Fratta Todina,프라타토디나
Provincia di Forlì-Cesena,포를리체세나 현
Forano,포라노
Campi Flegrei,캄피 플레그레이
Fiesole,피에솔레
Fara in Sabina,파라인사비나
Fabro,파브로
Herculaneum,헤르쿨라네움
Torrita di Siena,토리타디시에나
Torgiano,토르자노
Torano Nuovo,토라노누오보
Monte Titano,티타노 산
Susa,수사
Subiaco,수비아코
Sgurgola,스구르골라
Seborga,세보르가
Scala,스칼라
San Venanzo,산베난초
San Mango sul Calore,산만고술칼로레
San Lorenzo Nuovo,산로렌초누오보
San Gemini,산제미니
Acerno,아체르노
Courmayeur,코우르마이에우르
Corleto Monforte,코를레토몬포르테
Cori,코리
Contigliano,콘틸리아노
Cittareale,치타레알레
Chiusano di San Domenico,키우사노디산도메니코
Cetona,체토나
Cerreto di Spoleto,체레토디스폴레토
Cerchio,체르키오
Castropignano,카스트로피냐노
Castiglione a Casauria,카스틸리오네아카사우리아
Castelli,카스텔리
Castelfranci,카스텔프란치
Castelforte,카스텔포르테
Castel del Giudice,카스텔델주디체
Castel Campagnano,카스텔캄파냐노
Cascia,카시아
Riardo,리아르도
Rapolano Terme,라폴라노테르메
Prata di Principato Ultra,프라타디프린치파토울트라
Positano,포시타노
Pontelatone,폰텔라토네
Polla,폴라
Polino,폴리노
Poggio Picenze,포조피첸체
Pimonte,피몬테
Pietranico,피에트라니코
Pienza,피엔차
Piedimonte San Germano,피에디몬테산제르마노
Penne,펜네
Vinci,빈치
Vicovaro,비코바로
Provincia di Verona,베로나
Vaiano,바이아노
Trevico,트레비코
Pacentro,파첸트로
Monte San Biagio,몬테산비아조
Monte Castello di Vibio,몬테카스텔로디비비오
Montalcino,몬탈치노
Molinara,몰리나라
Massa Martana,마사마르타나
Marciana Marina,마르차나마리나
Pantheon,판테온
Duomo di Milano,밀라노 대성당
Castel Sant'Angelo,산탄젤로 성
Torre di Pisa,피사의 사탑
Potenza,포텐차
Monte Argentario,몬테아르젠타리오
Reggia di Caserta,카세르타 궁전
Velia,벨리아
Arch of Constantine,콘스탄티누스 개선문
Santa Maria della Salute,산타 마리아 델라 살루테 성당
Santa Maria delle Grazie,산타 마리아 델레 그라치에 교회
Palazzo Farnese,파르네세 궁전
Galleria Borghese,보르게세 미술관
La Fenice,라 페니체
Baschi,바스키
La Salle,라살레
Canal Grande,카날 그란데
Gorga,고르가
Tarano,타라노
Basilica di Superga,수페르가 성당
Stroncone,스트론코네
Castello Sforzesco,스포르체스코 성
Sassetta,사세타
Saracinesco,사라치네스코
San Rufo,산루포
Vallo di Diano,발로 디 디아노
Collazzone,콜라초네
Citerna,치테르나
Salle,살레
Radicondoli,라디콘돌리
Pratella,프라텔라
Piegaro,피에가로
Vallerotonda,발레로톤다
Otricoli,오트리콜리
Murlo,무를로
Monteleone Sabino,몬텔레오네사비노
Manarola,마나롤라
Lugnano in Teverina,루냐노인테베리나
Palazzo Vecchio,베키오 궁전
Palazzo Pitti,피티 궁전
Piazza dei Miracoli,미라콜리 광장
Piazza Navona,나보나 광장
Ara Pacis,평화의 제단
Ponte Vecchio,베키오 다리
Zeri,체리
Lisciano Niccone,리시아노니코네
Santa Sabina,산타 사비나 성당
Piazza Venezia,베네치아 광장
Piazza del Popolo,포폴로 광장
Villa Borghese,보르게세 공원
Santa Maria del Popolo,산타 마리아 델 포폴로 성당
Santa Maria sopra Minerva,산타 마리아 소프라 미네르바 성당
Orsanmichele,오르산미켈레
Palazzo Medici Riccardi,메디치 리카르디 궁전
Piazza della Signoria,시뇨리아 광장
Metaponto,메타폰툼
Ligurian Sea,리구리아 해
