Bucharest,ブカレスト
România,ルーマニア
Constanţa,コンスタンツァ
Iaşi,ヤシ
Timişoara,ティミショアラ
Craiova,クラヨーヴァ
Cluj-Napoca,クルジュ＝ナポカ
Galaţi,ガラツィ
Tulcea,トゥルチャ
Târgu Jiu,トゥルグ・ジウ
Târgovişte,トゥルゴヴィシュテ
Suceava,スチャヴァ
Slatina,スラティナ
Sibiu,シビウ
Satu Mare,サトゥ・マーレ
Râmnicu Vâlcea,ルムニク・ヴルチャ
Oradea,オラデア
Moldoveanu,モルドベアヌ山
Buzău,ブザウ
Braşov,ブラショフ
Drobeta-Turnu Severin,ドロベタ＝トゥルヌ・セヴェリン
Alba Iulia,アルバ・ユリア
Vaslui,ヴァスルイ
Transylvanian Alps,トランシルヴァニアアルプス山脈
Bistriţa,ビストリツァ
Henri Coandă International Airport,アンリ・コアンダ国際空港
Vrancea,ヴランチャ県
Turda,トゥルダ
Teleorman,テレオルマン県
Suceava,スチャヴァ県
Prahova,プラホヴァ県
Olt,オルト県
Maramureş,マラムレシュ県
Lugoj,ルゴジ
Covasna,コヴァスナ県
Cluj,クルジュ県
Caraş-Severin,カラシュ＝セヴェリン県
Braşov,ブラショフ県
Botoşani,ボトシャニ県
Dolj,ドルジュ県
Deva,デヴァ
Bistriţa-Năsăud,ビストリツァ＝ナサウド県
Argeş,アルジェシュ県
Alexandria,アレクサンドリア
Eastern Europe,東ヨーロッパ
Ilfov,イルフォヴ県
Vâlcea,ヴルチャ県
Turnu Măgurele,トゥルヌ・マグレレ
Tulcea,トゥルチャ県
Târnăveni,トゥルナヴェニ
Târgu Secuiesc,トゥルグ・セクイエスク
Timiş,ティミシュ県
Tecuci,テクチ
Sinaia,シナヤ
Sibiu,シビウ県
Satu Mare,サトゥ・マーレ県
Sălaj,サラージュ県
Râmnicu Sărat,ルムニク・サラト
Rădăuți,ラダウツィ
Odorheiu Secuiesc,オドルヘユ・セクイエスク
Neamţ,ネアムツ県
Mureş,ムレシュ県
Mehedinţi,メヘディンチ県
Constanța,コンスタンツァ県
Codlea,コドレア
Câmpulung Moldovenesc,クンプルング・モルドヴェネスク
Câmpia Turzii,クンピア・トゥルジー
Cernavodă,チェルナヴォダ
Caracal,カラカル
Călăraşi,カララシ県
Buzău,ブザウ県
Brăila,ブライラ県
Iaşi,ヤシ県
Ialomiţa,ヤロミツァ県
Hunedoara,フネドアラ県
Gorj,ゴルジュ県
Giurgiu,ジュルジュ県
Galaţi,ガラツィ県
Fălticeni,ファルティチェニ
Făgăraș,ファガラシュ
Dorohoi,ドロホイ
Dâmboviţa,ドゥンボヴィツァ県
Dej,デジ
Bihor,ビホル県
Bacău,バカウ県
Arad,アラド県
Alba,アルバ県
Europe,ヨーロッパ
Timișoara Traian Vuia International Airport,トライアン・ヴイア国際空港
Sighișoara,シギショアラ
Vatra Dornei,ヴァトラ・ドルネイ
Urziceni,ウルジチェニ
Sulina,スリナ
Siret,シレト
Salonta,サロンタ
Reghin,レギン
Marghita,マルギタ
Corabia,コラビア
Carei,カレイ
Buftea,ブフテア
Brad,ブラド
Gherla,ゲルラ
Gheorgheni,ゲオルゲニ
Blaj,ブラジ
Biertan,ビエルタン
Olt,オルト川
Moldova Veche,モルドバ・ヴェッキ
Jiu,ジウ川
Păltiniș,パルティニシュ
Carpathians,カルパティア山脈
