кирилл,基里尔,kirill
борис,鲍里斯,boris
акунин,阿库宁,akunin
согдиана,索格狄安娜,sogdiana
крейвенохотник,猎人克莱文,kreyvenohotnik
наташа,娜塔莎,natasha
королёва,科罗廖娃,korolyova
алсу,阿尔苏,alsu
полина,波琳娜,polina
дашкова,达许可娃,dashkova
иларион,伊拉里雍,ilarion
хамелеон,变色龙,hameleon
витас,维塔斯,vitas
онуфрий,欧诺菲力,onufriy
мэджик,秘客,medzhik
натали,娜塔莉,natali
жасмин,茉莉,zhasmin
саид,赛义德,said
бурятский,布里亚茨基,buryatskiy
малком,马尔甘,malkom
антоний,安东尼,antoniy
моргенштерн,摩根施特恩,morgenshtern
лана,拉娜,lana
энди,安迪,endi
картрайт,卡特赖特,kartrayt
владлен,弗拉德连,vladlen
татарский,塔塔尔斯基,tatarskiy
россия,俄罗斯,rossiya
кострома,科斯特罗马,kostroma
жигули,日古利山脉,zhiguli
йошкарола,约什卡尔奥拉,yoshkarola
ярославль,雅罗斯拉夫尔,yaroslavl
тверь,特维尔,tver
москва,莫斯科,moskva
смоленск,斯摩棱斯克,smolensk
лапландия,萨米,laplandiya
новосибирск,新西伯利亚,novosibirsk
абакан,阿巴坎,abakan
иваново,伊万诺沃,ivanovo
волчанск,沃尔昌斯克,volchansk
самара,萨马拉,samara
иланский,伊兰斯基,ilanskiy
чебоксары,切博克萨雷,cheboksary
заозёрный,扎奥焦尔内,zaozyornyy
дмитриев,德米特里耶夫,dmitriev
дзержинск,捷尔任斯克,dzerzhinsk
зеленоградск,泽列诺格拉茨克,zelenogradsk
омск,鄂木斯克,omsk
казань,喀山,kazan
тула,图拉,tula
рязань,梁赞,ryazan
пенза,奔萨,penza
курчатов,库尔恰托夫,kurchatov
обоянь,奥博扬,oboyan
суджа,苏贾,sudzha
железногорск,热列兹诺戈尔斯克,zheleznogorsk
волгоград,伏尔加格勒,volgograd
ростовнадону,顿河畔罗斯托夫,rostovnadonu
челябинск,车里雅宾斯克,chelyabinsk
янтарный,扬塔尔内,yantarnyy
черняховск,切尔尼亚霍夫斯克,chernyahovsk
пермь,彼尔姆,perm
уфа,乌法,ufa
калуга,卡卢加,kaluga
брянск,布良斯克,bryansk
томск,托木斯克,tomsk
белгород,别尔哥罗德,belgorod
неман,涅曼,neman
тюмень,秋明,tyumen
тольятти,陶里亚蒂,tolyatti
балтийск,波罗的斯克,baltiysk
гусев,古谢夫,gusev
светлый,斯韦特雷,svetlyy
воронеж,沃罗涅日,voronezh
красноярск,克拉斯诺亚尔斯克,krasnoyarsk
владивосток,海参崴,vladivostok
орёл,奥廖尔,oryol
ульяновск,乌里扬诺夫斯克,ulyanovsk
курск,库尔斯克,kursk
советск,苏维埃茨克,sovetsk
липецк,利佩茨克,lipeck
тамбов,坦波夫,tambov
маньчжурия,满洲,manchzhuriya
краснодар,克拉斯诺达尔,krasnodar
дивногорск,季夫诺戈尔斯克,divnogorsk
дзержинский,捷尔任斯基,dzerzhinskiy
десногорск,杰斯诺戈尔斯克,desnogorsk
демидов,杰米多夫,demidov
майкоп,迈科普,maykop
барнаул,巴尔瑙尔,barnaul
горноалтайск,戈尔诺阿尔泰斯克,gornoaltaysk
архангельск,阿尔汉格尔斯克,arhangelsk
долгопрудный,多尔戈普鲁德内,dolgoprudnyy
долинск,多林斯克,dolinsk
калининград,加里宁格勒,kaliningrad
добрянка,多布良卡,dobryanka
дно,德诺,dno
астрахань,阿斯特拉罕,astrahan
дигора,季戈拉,digora
мурманск,摩尔曼斯克,murmansk
димитровград,季米特洛夫格勒,dimitrovgrad
дмитровск,季米特洛夫斯克,dmitrovsk
домодедово,多莫杰多沃,domodedovo
донской,顿斯科伊,donskoy
дубовка,杜博夫卡,dubovka
дудинка,杜金卡,dudinka
духовщина,杜霍夫希纳,duhovshchina
дюртюли,久尔秋利,dyurtyuli
петрозаводск,彼得罗扎沃茨克,petrozavodsk
хантымансийск,汉特曼西斯克,hantymansiysk
дрезна,德列兹纳,drezna
дорогобуж,多罗戈布日,dorogobuzh
дубна,杜布纳,dubna
кызыл,克孜勒,kyzyl
кемерово,克麦罗沃,kemerovo
ейск,叶伊斯克,eysk
егорьевск,叶戈里耶夫斯克,egorevsk
елабуга,叶拉布加,elabuga
дятьково,佳季科沃,dyatkovo
элиста,埃利斯塔,elista
салехард,萨列哈尔德,salehard
вологда,沃洛格达,vologda
хабаровск,伯力,habarovsk
приладожский,普里拉多日斯基,priladozhskiy
елизово,叶利佐沃,elizovo
еманжелинск,叶曼热林斯克,emanzhelinsk
енисейск,叶尼塞斯克,eniseysk
емва,叶姆瓦,emva
череповец,切列波韦茨,cherepovec
тотьма,托季马,totma
иркутск,伊尔库茨克,irkutsk
ермолино,叶尔莫利诺,ermolino
надым,纳德姆,nadym
рахья,拉希亚,rahya
ефимовский,叶菲莫夫斯基,efimovskiy
никольский,尼科利斯基,nikolskiy
вырица,维里察,vyrica
сыктывкар,瑟克特夫卡尔,syktyvkar
лебяжье,列比亚日耶,lebyazhe
лесогорский,列索戈尔斯基,lesogorskiy
дубровка,杜布罗夫卡,dubrovka
железногорскилимский,热列兹诺戈尔斯克伊利姆斯基,zheleznogorskilimskiy
железнодорожный,热列兹诺多罗日内,zheleznodorozhnyy
жердевка,热尔杰夫卡,zherdevka
махачкала,马哈奇卡拉,mahachkala
грозный,格罗兹尼,groznyy
владикавказ,弗拉季高加索,vladikavkaz
жуковский,茹科夫斯基,zhukovskiy
заводоуковск,扎沃多乌科夫斯克,zavodoukovsk
завитинск,扎维京斯克,zavitinsk
ессентуки,叶先图基,essentuki
ершов,叶尔绍夫,ershov
железноводск,热列兹诺沃茨克,zheleznovodsk
ефремов,叶甫列莫夫,efremov
якутск,雅库茨克,yakutsk
нарьянмар,纳里扬马尔,naryanmar
уланудэ,乌兰乌德,ulanude
жигулёвск,日古廖夫斯克,zhigulyovsk
жиздра,日兹德拉,zhizdra
жуков,茹科夫,zhukov
жирновск,日尔诺夫斯克,zhirnovsk
жуковка,茹科夫卡,zhukovka
псков,普斯科夫,pskov
ставрополь,斯塔夫罗波尔,stavropol
сызрань,塞兹兰,syzran
гатчина,加特契纳,gatchina
заречный,扎列奇内,zarechnyy
заринск,扎林斯克,zarinsk
ярцево,亚尔采沃,yarcevo
ясногорск,亚斯诺戈尔斯克,yasnogorsk
амур,黑龙江,amur
заинск,扎因斯克,zainsk
заволжск,扎沃尔日斯克,zavolzhsk
задонск,扎东斯克,zadonsk
заволжье,扎沃尔日耶,zavolzhe
магас,马加斯,magas
благовещенск,海兰泡,blagoveshchensk
дальнегорск,达利涅戈尔斯克,dalnegorsk
закаменск,扎卡缅斯克,zakamensk
заозёрск,扎奥焦尔斯克,zaozyorsk
заполярный,扎波利亚尔内,zapolyarnyy
зарайск,扎赖斯克,zaraysk
юхнов,尤赫诺夫,yuhnov
ядрин,亚德林,yadrin
нальчик,纳利奇克,nalchik
янаул,亚纳乌尔,yanaul
яровое,亚罗沃耶,yarovoe
яранск,亚兰斯克,yaransk
севастополь,塞瓦斯托波尔,sevastopol
звенигово,兹韦尼戈沃,zvenigovo
звенигород,兹韦尼哥罗德,zvenigorod
зверево,兹韦列沃,zverevo
кромы,克罗梅,kromy
ясный,亚斯内,yasnyy
ивня,伊夫尼亚,ivnya
саратов,萨拉托夫,saratov
зеленокумск,泽列诺库姆斯克,zelenokumsk
зеленодольск,泽廖诺多利斯克,zelenodolsk
коммунар,科穆纳尔,kommunar
черкесск,切尔克斯克,cherkessk
зерноград,泽尔诺格勒,zernograd
тальменка,塔利缅卡,talmenka
автотор,阿维托托尔,avtotor
саяны,萨彦岭,sayany
зея,结雅,zeya
златоуст,兹拉托乌斯特,zlatoust
зима,济马,zima
злынка,兹伦卡,zlynka
змеиногорск,兹梅伊诺戈尔斯克,zmeinogorsk
бердяуш,别尔佳乌什,berdyaush
биробиджан,比罗比詹,birobidzhan
саранск,萨兰斯克,saransk
киров,基洛夫,kirov
судак,苏达克,sudak
федерация,联邦塔,federaciya
знаменск,兹纳缅斯克,znamensk
зубцов,祖布佐夫,zubcov
мосфильм,莫斯科电影制片厂,mosfilm
новокузнецк,新库兹涅茨克,novokuzneck
люберцы,柳别尔齐,lyubercy
ижевск,伊热夫斯克,izhevsk
волжский,伏尔加斯基,volzhskiy
массандра,马桑德拉,massandra
гаспра,哈斯普拉,gaspra
игарка,伊加尔卡,igarka
ивдель,伊夫杰利,ivdel
кириши,基里希,kirishi
магнитогорск,马格尼托哥尔斯克,magnitogorsk
зуевка,祖耶夫卡,zuevka
ивантеевка,伊万捷耶夫卡,ivanteevka
сибирь,西伯利亚,sibir
избербаш,伊兹别尔巴什,izberbash
изобильный,伊佐比利内,izobilnyy
крым,克里米亚,krym
южносахалинск,南萨哈林斯克,yuzhnosahalinsk
инза,因扎,inza
инсар,因萨尔,insar
елец,叶列茨,elec
ельня,叶利尼亚,elnya
калачнадону,顿河畔卡拉奇,kalachnadonu
ипатово,伊帕托沃,ipatovo
таванбогдоула,塔弯博格多,tavanbogdoula
пушкин,普希金,pushkin
айны,阿伊努族,ayny
петропавловсккамчатский,堪察加彼得罗巴甫洛夫斯克,petropavlovskkamchatskiy
снеговой,斯涅戈沃伊火山,snegovoy
ирбит,伊尔比特,irbit
исилькуль,伊西利库尔,isilkul
истра,伊斯特拉,istra
искитим,伊斯基季姆,iskitim
ишим,伊希姆,ishim
вязьма,维亚济马,vyazma
волоколамск,沃洛科拉姆斯克,volokolamsk
инта,因塔,inta
казбек,卡兹别克山,kazbek
дмитров,德米特罗夫,dmitrov
зеленоград,泽列诺格勒,zelenograd
уссури,乌苏里江,ussuri
магадан,马加丹,magadan
ковров,科夫罗夫,kovrov
абаза,阿巴扎,abaza
алейск,阿列伊斯克,aleysk
адыгейск,阿迪格斯克,adygeysk
калач,卡拉奇,kalach
кадников,卡德尼科夫,kadnikov
ишимбай,伊希姆拜,ishimbay
