key,value
evika,에비카
siliņa,실리아
krišjānis,크리슈자니스
kariņš,카린스
māris,마리스
kučinskis,쿠친스키스
laimdota,라임도타
straujuma,스트라우주마
valdis,발디스
dombrovskis,돔브로브스키스
zane,Zane
bičevska,비체브스카
sandris,산드리스
lācis,베어
jānis,John
priede,프리데
valda,발다
kļava,클라바
linda,린다
daniela,다니엘라
milda,밀다
pūpole,푸폴
dainis,다이니스
tukāns,투칸스
uldis,울디스
rokpelnis,록펠니스
maruta,마루타
brūvere,브루베레
edvards,에드워드
jānis,John
rečickis,레치키스
rīga,리가
jelgava,젤가바
ventspils,벤츠필스
jēkabpils,제캅필스
sigulda,시굴다
limbaži,림바지
iecava,이에카바
zilupe,질루페
seda,세다
aknīste,아크니스테
staicele,스타이첼레
code,코드
šķesteri,클로이스터스
allaži,알라지
piltene,필텐
