key,value
rīga,里加
jelgava,耶尔加瓦
ventspils,文茨皮尔斯
jēkabpils,耶卡布皮尔斯
sigulda,锡古尔达
limbaži,林巴日
iecava,伊埃卡瓦
zilupe,日卢佩
seda,塞达
aknīste,阿克尼斯泰
staicele,斯泰策莱
code,科德
šķesteri,什凯斯特里
allaži,阿拉日
piltene,皮尔帖涅
evika,埃维卡
krišjānis,克利沙尼斯
māris,马力
laimdota,莱梅杜奥塔
valdis,瓦尔迪斯
zane,扎内
sandris,桑迪斯
jānis,亚尼斯
valda,瓦尔达
linda,琳达
milda,米尔达
dainis,戴尼斯
uldis,武尔迪斯
maruta,玛鲁塔
edvards,爱德华兹
siliņa,希利娜
kariņš,卡里ņš
kučinskis,库钦斯基
straujuma,斯特劳尤马
dombrovskis,多姆布罗夫斯基
bičevska,比切夫斯卡
lācis,拉茨
priede,普里埃德
kļava,克利亚瓦
daniela,丹妮埃拉
pūpole,普波莱
tukāns,图卡恩
rokpelnis,罗克佩尔尼斯
brūvere,布鲁韦雷
rečickis,热茨基斯
