de_haŋkə	항케
de_ʁuːman	루만
de_vilfʁiːt	빌프리트
de_tʁitin	트리틴
de_poɐʃə	포르셰
de_ʃtʁitmatɐ	슈트리트마터
de_aliːnaː	알리나
de_ʁiːtɐ	리터
de_felkə	펠케
de_maiənekə	마이네케
de_malton	말톤
de_volfshoːl	볼프스홀
de_beɐsteːlant	베르스텔란트
de_ɡundiː	군디
de_aːxən	아헨
de_elias	엘리아스
de_heɐbeɐɡɐ	헤르베르거
de_klaiəneɐt	클라이네르트
de_kont͡s	콘츠
de_kʁøtʁup	그뢰트룹
de_haːnauh	하나우
de_t͡siɐkelbax	치르켈바흐
de_zaːɐlouis	자를루이
de_paːxelbel	파헬벨
de_ʁiaː	리아
de_pistoɐ	피스터
de_feɐx	페르히
de_tʁaesnɐ	드레스너
de_biːbi	비비
de_doeɐmɐ	되르머
de_doyt͡ʃliːtauiʃə	독일리투아니아
de_haidn	하이든
de_abəndplat	아벤트블라트
de_ʃʁep͡fɐ	슈뢰퍼
de_doːm	돔
de_tymɐ	튀머
de_ɡuaɐdiːni	구아르디니
de_tim	팀
de_hotɐ	호터
de_klaiekamp	클라이캄프
de_kaɐstənsən	카르스텐센
de_don	돈
de_vilmaː	빌마
de_kaɐstaː	카르스타
de_olifɐ	올리버
de_holstain	홀슈타인
de_tatjaːna	타탸나
de_duɐm	두름
de_ʁiːfənstaːl	리펜슈탈
de_kaːʀasiak	카라지아크
de_kaːniːnənbeɐk	카니넨버그
de_plumhaɐt	블룸하르트
de_kʁeːmeɐs	크레머스
de_haɐtmut	하르트무트
de_ʃaɐpiŋk	샤르핑
de_kéʁé	케레
de_lamy	라미
de_helman	헬만
de_iːseɐloːn	이절론
de_pʁuŋkhoɐst	브룽크호르스트
de_fʁaːnost͡sek	프라노젝
de_meːt͡seldɐ	메첼더
de_hai	하이
de_ʁams	람스
de_biːleːfelt	빌레펠트
de_voɐltkon	월드콘
de_tʁeams	드림스
de_ʃtump͡ff	슈툼프
de_kukshaːfən	쿡스하펜
de_buɐkhaɐt	부르크하르트
de_ɡuilouː	길루
de_kiːlian	킬리안
de_klukhoːn	클루크혼
de_ditmaɐ	디트마어
de_kaːtia	카티아
de_zekles	세클레스
de_desauhʀoslauh	데사우로슬라우
de_niːkoːletə	니콜레테
de_bop	보프
de_ʃʁaibɐ	슈라이버
de_helfʁix	헬프리히
de_ʃtefən	슈테펜
de_baɐtel	카이저
de_hainʁix	하인리히
de_tøniːs	퇴니스
de_keplɐ	케플러
de_ziotmak	시오드맥
de_kopə	코페
de_fʁiŋs	프링스
de_kaɐljoːsef	카를요제프
de_ʁeːɡoː	헤고
de_potʁykus	포트리쿠스
de_moskauɐ	모스크바
de_petʁaː	페트라
de_apit͡s	피츠
de_kynt͡selsauh	퀸첼자우
de_petɐ	페터
de_faːhit	바히드
de_et͡sel	에첼
de_ʃtaːnislav	스타니슬라프
de_ʃʁøtɐ	슈뢰터
de_møliŋk	묄링
de_hyun	현
de_loy	로이
de_viliams	윌리엄스
de_hoyhsiŋɐ	호이징거
de_fiʃɐ	피셔
de_ʁaːn	란
de_ʁosnɐ	로스너
de_haiənaɐ	하이나르
de_plaŋk	블랑크
de_keːkiːliaː	세실리아
de_jeːʀemiːs	예레미스
de_shavn	숀
de_ton	톤
de_zuːsanə	주자네
de_dem	뎀
de_t͡sax	자크
de_ʁemlɐ	렘러
de_ʃənkə	솅케
de_nely	넬리
de_aiɐliːnes	항공
de_ekaɐt	에카르트
de_ʁaːdoː	라도
de_klaːn	글란
de_mynxən	뮌헨
de_voldeːmaɐ	볼데마르
de_noyhʀat	노이라트
de_haɐnik	하르니크
de_ɡøːɐ	괴르
de_fiːtiŋkhof	피팅호프
de_foːkus	포쿠스
de_beɐnbuɐk	베른부르크
de_desauh	데사우
de_jost	요스트
de_ʃut	슈트
de_platənhaɐt	플라텐하르트
de_isɐ	이저
de_p͡flaum	플라움
de_pʁuxkøːbel	브루흐쾨벨
de_vindeːlən	빈델렌
de_antes	안테스
de_haɐtelt	하르텔트
de_fany	파니
de_laŋə	랑게
de_hausə	하우제
de_bambeɐɡɐ	밤베르크
de_daiesənhofɐ	다이젠호퍼
de_beːniʃ	베니슈
de_koːvaːlevskiː	코발레프스키
de_jaːnoʃ	야노쉬
de_paːʃən	파셴
de_haselman	하셀만
de_knesɐ	크네저
de_fint͡sənt͡s	빈첸츠
de_zilkə	질케
de_kyːnən	퀴넨
de_maːmout	마흐무드
de_oliːfiaː	올리비아
de_ʁaːdioː	라디오
de_byɐɡɐ	뷔르거
de_leːvis	레비스
de_ʃvaːp	슈바브
de_tʁaibɐ	트라이버
de_vasily	바실리
de_liːbknext	리프크네히트
de_abəntʁot	아벤트로트
de_tʁaiesaitl	드라이자이틀
de_fʁøbə	프뢰베
de_fextɐ	페흐터
de_ʁypkə	뤼프케
de_aɐtveafɐ	아트위버
de_bandovskiː	반도프스키
de_baŋk	방크
de_loeːviː	뢰비
de_xaːlit	할리드
de_toːʀuːnaːʀikhaː	토루나리가
de_kolɐ	콜러
de_milsɐ	밀저
de_unʁuː	운루
de_paskvalə	파스쿠알레
de_fʁeːdeʀik	프레더릭
de_undeːʀaik	운데어아익
de_adalbeɐt	아달베르트
de_hənniŋk	헤닝
de_klauspetɐ	클라우스페터
de_maːliːnaː	멀리나
de_maɐkʁanstet	마르크란슈테트
de_valdoɐf	발도르프
de_joʃkaː	요슈카
de_flasbek	플라스벡
de_alpiːnaː	알피나
de_bauʃ	바우슈
de_velp	벨프
de_landauɐ	란다워
de_ʃtoɐx	슈토르히
de_pʁaiənin	브라이닌
de_ʃpaɐtaːkusbunt	스파르타쿠스단
de_jaːkopsən	야콥센
de_kʁuːpinskiː	크루핀스키
de_ənt͡sənsbeɐɡɐ	엔첸스베르거
de_jaːna	야나
de_ʃteːɡən	슈테겐
de_maiʃbeɐɡɐ	마이슈베르거
de_vaiesənboɐn	바이젠보른
de_laiebiŋeɐkamylɐ	라이빙거카뮐러
de_vuːjak	부야크
de_hesən	헤센
de_kʁiːvit͡s	크리비츠
de_lotə	로테
de_aueɐman	아우어만
de_ʁotvail	로트바일
de_lutviçsbuɐk	루트비히스부르크
de_klaipʁiŋk	클라이브링크
de_ʁol	롤
de_bøːmɐ	뵈머
de_vestdoyt͡ʃə	베스트도이체
de_huənə	후에네
de_vilhelmiː	빌헬미
de_ɡaliaː	갈리아
de_bənhaːtieʀaː	벤하티라
de_buxvalt	부흐발트
de_liːbeːt͡sait	리베차이트
de_tovɐ	타워
de_zeɐɡiuː	세르주
de_sylfestɐ	질베스터
de_jaːŋkə	양케
de_ovoːmoyeːlaː	오보모옐라
de_baiʁoytɐ	바이로이트
de_doːmiːnikvə	도미니크
de_fiɐtual	버추얼
de_hempel	헴펠
de_paŋeɐmaːnismus	범독일주의
de_ʃultes	슐테스
de_laskeɐʃylɐ	라스커쉴러
de_zutɐ	주터
de_nastasjaː	나스타샤
de_ʃlemɐ	슐레머
de_ʁoːbeɐtoː	호베르투
