lionel,利昂内尔
messi,梅西
massimo,马西莫
troisi,特罗西
renato,雷纳托
dirnei,迪尔内
florêncio,弗洛伦西奥
stefano,斯特凡诺
cerioni,切廖尼
salvatore,萨尔瓦托雷
quasimodo,夸西莫多
luigi,路易吉
einaudi,伊诺第
antonio,安东尼奥
segni,塞尼
giovanni,乔瓦尼
gronchi,格隆基
alessandro,亚历山德罗
matri,马特里
ennio,恩尼奥
antonelli,安东内利
giuseppe,朱塞佩
betori,贝托里
guido,圭多
calabresi,卡拉布雷西
dario,达里奥
fo,福
giorgio,乔治
napolitano,纳波利塔诺
carlo,卡洛
azeglio,阿泽利奥
ciampi,钱皮
oscar,奥斯卡
scalfaro,斯卡尔法罗
emiliano,埃米利亚诺
sala,萨拉
francesco,弗朗切斯科
cossiga,科西加
fabrizio,法布里齐奥
donato,多纳托
pastrone,帕斯特洛纳
tornatore,托纳多雷
eugenio,欧金尼奥
montale,蒙塔莱
candreva,坎德雷瓦
lina,莉娜
wertmüller,韦特缪勒
sandro,桑德罗
pertini,佩尔蒂尼
chiellini,基耶利尼
sergio,塞尔吉奥
corbucci,科尔布奇
liliana,莉莉安娜
cavani,卡瓦尼
gustav,古斯塔夫
thöni,特尼
deborah,德博拉
compagnoni,孔帕尼奥尼
alberto,阿尔贝托
tomba,通巴
cesare,切萨雷
pavese,帕韦斯
nino,尼诺
farina,法里纳
vittorio,维托里奥
gassman,加斯曼
luciano,卢西亚诺
pavarotti,帕瓦罗蒂
saragat,萨拉盖特
leone,莱昂内
franco,佛朗哥
zeffirelli,齐费里尼
federica,费代丽卡
brignone,布里尼奥内
romano,罗马诺
prodi,普罗迪
camila,卡米拉
giorgi,吉奥尔吉
michelangelo,米开朗基罗
antonioni,安东尼奥尼
federico,费德里科
marchetti,马尔凯蒂
martin,马丁
scorsese,斯科塞斯
zeno,泽诺
colò,科洛
damiano,达米亚诺
damiani,达米亚尼
andrea,安德烈亚
bocelli,波伽利
oddo,奥多
ascari,阿斯卡里
gabriele,加布里埃莱
detti,德蒂
valentina,瓦伦蒂娜
arrighetti,阿里盖蒂
romeo,罗密欧
bertini,贝尔蒂尼
valerio,瓦莱里奥
arri,阿里
michele,米凯莱
besso,贝索
cornelio,科内利奥
sommaruga,索马鲁加
gennaro,詹纳罗
gattuso,加图索
lopopolo,洛波波洛
ludovico,卢多维科
iván,伊万
piris,皮利斯
zucchetti,祖凯蒂
giacomo,贾科莫
biffi,比菲
alfredo,阿尔弗雷多
dinale,迪纳莱
valentino,瓦伦蒂诺
gasparella,加斯帕雷拉
monica,莫妮卡
bellucci,贝露琪
gianni,詹尼
infantino,因凡蒂诺
marcello,马切洛
mastroianni,马斯楚安尼
lippi,利皮
sophia,索非娅
loren,罗兰
ricardo,里卡多
martinelli,马丁内利
roberta,罗伯塔
vinci,芬奇
claudia,克劳迪娅
cardinale,卡蒂纳
fabio,法比奥
cannavaro,卡纳瓦罗
mario,马里奥
balotelli,巴洛特利
manolo,马诺罗
gabbiadini,加比亚迪尼
ubaldesco,乌巴尔代斯科
baldi,巴尔迪
kaspar,卡斯帕
capparoni,卡帕罗尼
filippo,菲利波
inzaghi,因扎吉
sara,萨拉
simeoni,西梅奥尼
tarcisio,塔尔奇西奥
bertone,贝尔托内
marco,马尔科
borriello,博列洛
pirlo,皮尔洛
gina,珍娜
lollobrigida,露露布莉姬妲
anna,安娜
magnani,马尼亚尼
yves,伊夫
montand,蒙当
virna,薇娜
lisi,莉丝
vitti,维蒂
gaioni,加约尼
orsi,奥尔西
tasselli,塔塞利
lusiani,卢夏尼
guglielmo,古列尔莫
segato,塞加托
olmo,奥尔莫
lucas,卢卡斯
piazon,皮亚松
raffaele,拉斐尔
tiziano,帝奇亚诺
terzani,坦尚尼
trapattoni,特拉帕托尼
fellini,费里尼
angelo,安杰洛
sodano,索达诺
matteo,马泰奥
darmian,达米安
ermanno,艾曼诺
wolfferrari,沃尔夫费拉里
rocco,罗科
siffredi,希佛帝
eddy,埃迪
ottoz,奥托兹
benassi,班纳西
gae,盖
aulenti,奥伦蒂
parmigianino,帕尔米贾尼诺
d'alema,达莱马
beppe,贝佩
grillo,格里罗
monti,蒙蒂
umberto,翁贝托
bossi,博西
giulietta,朱列塔
masina,玛西纳
silvana,西尔瓦娜
mangano,曼加诺
marciello,马赛罗
cimatti,奇马蒂
ghilardi,吉拉尔迪
paolo,保罗
pedretti,佩德雷蒂
borsari,博尔萨里
paloschi,柏路斯基
josé,何塞
altafini,阿尔塔菲尼
amauri,阿马利
pantano,潘塔诺
christian,克里斯蒂安
abbiati,阿比亚蒂
pietro,彼得罗
anastasi,阿纳斯塔西
roberto,罗伯托
anzolin,安佐林
edmond,埃德蒙
fischer,费希尔
maglioli,马廖利
enrico,恩里科
fermi,费米
livio,利维奥
berruti,贝鲁蒂
quagliarella,哥利亚列拿
leo,莱奥
riccardo,里卡多
divora,迪沃拉
renzi,伦齐
pier,皮埃尔
bersani,贝尔萨尼
danilo,达尼洛
gallinari,加利纳里
lola,洛拉
pagnani,帕尼亚尼
barzagli,巴尔扎利
claudio,克劳迪奥
pizarro,皮萨罗
maria,玛丽亚
montessori,蒙特梭利
francesca,弗兰切斯卡
piccinini,皮奇尼尼
dulbecco,杜尔贝科
piero,皮耶罗
gros,格罗斯
gianfranco,詹弗兰科
zola,佐拉
cassetti,卡塞蒂
assunta,阿孙塔
legnante,莱尼安特
riccardi,里卡尔迪
gabriel,加布里埃尔
heinze,海因策
giovanna,焦万娜
mezzogiorno,梅佐焦尔诺
domenichelli,多梅尼凯利
tatangelo,泰坦洁萝
mancini,曼奇尼
gundi,贡迪
busch,布施
baggio,巴乔
daniel,丹尼尔
bovet,博韦
mauro,毛罗
icardi,伊卡尔迪
scamarcio,史卡马西奥
miccoli,米科利
eco,埃科
silvio,西尔维奥
berlusconi,贝卢斯科尼
ilona,伊萝娜
staller,史特拉
cabrini,卡布里尼
alfred,阿尔弗雷德
duncan,邓肯
agnelli,阿涅利
bettega,贝泰加
giampiero,詹皮耶罗
boniperti,博尼佩尔蒂
gianluigi,詹路易吉
buffon,布冯
stephan,斯蒂凡
el,艾尔
shaarawy,沙拉维
luchino,卢奇诺
visconti,维斯孔蒂
arturo,阿图罗
toscanini,托斯卡尼尼
rossellini,罗塞里尼
frank,法兰克
capra,卡普拉
giulio,朱利奥
andreotti,安德烈奥蒂
emma,艾玛
bonino,博尼诺
sordi,索尔迪
scarpa,斯卡帕
bertolini,贝尔托利尼
giancarlo,贾恩卡洛
bercellino,贝尔切利诺
benetti,贝内蒂
felice,费利切
borel,博雷尔
montolivo,蒙度利禾
poggio,波吉欧
bracciolini,布拉乔利尼
fiore,菲奥雷
ildebrando,伊尔代布兰多
d'arcangelo,达尔堪杰罗
walter,瓦尔特
plaikner,普莱克纳
gualtiero,瓜尔蒂耶罗
bassetti,巴塞蒂
stramaccioni,斯特拉马乔尼
potito,波蒂托
starace,斯塔拉切
sinopoli,西诺波利
mauri,毛里
pozzo,波佐
leonardo,莱昂纳多
sciascia,夏夏
enzo,恩佐
maresca,马雷斯卡
hösle,赫斯勒
abbado,阿巴多
benedetti,贝内德蒂
michelangeli,米凯兰杰利
benigni,贝尼尼
alex,亚历克斯
schwazer,施瓦泽
monicelli,莫尼切利
annibale,安尼巴莱
bergonzoli,贝尔贡佐利
argento,阿基多
cristian,克里斯蒂安
zaccardo,扎卡尔多
giuliano,朱利亚诺
razzoli,拉佐利
herbert,赫伯特
plank,普兰克
bellocchio,贝罗奇奥
bernardo,贝尔纳多
bertolucci,贝托鲁奇
eros,艾罗斯
ramazzotti,拉玛佐第
pablo,柏保路
piatti,皮亚堤
veltroni,韦尔特罗尼
andreas,安德烈亚斯
seppi,塞皮
tommaso,托马索
rocchi,洛基
luca,卢卡
castellazzi,卡斯特拉齐
renzo,伦佐
sambo,桑博
ettore,埃托雷
sottsass,索特萨斯
duccio,杜乔
di,迪
buoninsegna,博尼塞尼亚
primo,普里莫
levi,莱维
oriana,奥里亚娜
fallaci,法拉奇
michael,迈克尔
bublé,布雷
gian,吉安
malipiero,马利皮耶罗
mari,马里
rodolfo,鲁道夫
graziani,格拉齐亚尼
maur,莫尔
gianluca,詹卢卡
pessotto,佩索托
saviano,萨维亚诺
diana,黛安娜
bianchedi,比安凯迪
ercole,埃尔科莱
baldini,巴尔迪尼
colin,哥连
firth,费夫
domenico,多梅尼科
morfeo,莫尔费奥
jonas,庄拿斯
gonçalves,干卡维斯
oliveira,奥利华拉
maurizio,毛里齐奥
damilano,达米拉诺
italo,伊塔洛
gariboldi,加里波第
unterberger,翁特贝格尔
sandra,桑德拉
ceccarelli,切卡雷利
ravasi,拉瓦西
battiato,巴蒂亚托
acerbi,阿切尔比
aldo,阿尔多
nadi,纳迪
maffei,马费伊
cigna,西格娜
moravia,莫拉维亚
pinzi,平齐
pippa,皮帕
bacca,巴卡
cecilia,塞西莉亚
bartoli,巴托利
dallapiccola,达拉皮科拉
totti,托蒂
pella,佩拉
calvino,卡尔维诺
trillini,特里利尼
gino,吉诺
bartali,巴塔利
rossi,罗西
giannini,吉安尼尼
antonini,安东尼尼
morricone,莫里科内
de,德
chirico,基里科
armani,阿玛尼
hernán,埃尔南
crespo,克雷斯波
dainelli,达伊内利
pollini,波利尼
maldera,马尔代拉
manassero,曼纳塞罗
nanni,南尼
moretti,莫雷蒂
gaetano,加埃塔诺
monachello,莫纳凯洛
andré,安德烈
nono,诺诺
pasolini,帕索里尼
javier,哈维尔
mascherano,马斯切拉诺
bernardi,贝尔纳迪
horvat,霍瓦特
rino,里诺
pucci,普奇
anselmo,安塞尔莫
citterio,奇泰里奥
lorenzo,洛伦佐
bernini,贝尼尼
soleri,索莱里
benarrivo,贝纳里沃
remo,雷莫
giazotto,贾佐托
furino,富里诺
elisa,埃莉萨
uga,乌加
tonhi,通尼
terenzi,泰伦齐
laura,劳拉
chiesa,基耶萨
puccini,普奇尼
raffaello,拉法埃洛
caserta,卡塞塔
margherita,玛格丽塔
zalaffi,扎拉菲
martire,马特
d'anghiera,德安吉拉
sonia,索尼娅
gandhi,甘地
cuomo,科莫
bortolozzi,博尔托洛齐
christof,克里斯托弗
innerhofer,伊诺霍佛
perlasca,佩拉斯卡
salvadore,萨尔瓦多雷
zuculini,祖库利尼
conte,孔蒂
boninsegna,博宁塞尼亚
toso,图素
berlinguer,贝林格
kaká,卡卡
vincenzo,温琴佐
gibilisco,吉比利斯科
gerda,格尔达
weissensteiner,魏森施泰纳
erika,埃丽卡
lechner,莱希纳
scalice,斯卡利斯
dino,迪诺
trissino,特里西诺
giuliani,朱利亚尼
morante,莫蓝特
aleandro,阿莱安德罗
rosi,罗西
bruno,布鲁诺
visintin,维辛廷
nenci,南奇
vernizzi,韦尔尼齐
biondi,毕翁迪
carnera,卡内拉
cappuccilli,卡普契里
cercignani,切尔奇纳尼
ornella,奥内拉
muti,穆蒂
paulo,保罗
dybala,戴巴拿
paola,保拉
pigni,皮尼
selvaggi,塞尔瓦吉
giuseppina,朱塞平娜
costello,卡斯特罗
valle,瓦莱
bepi,朱塞佩
ros,罗斯
silvano,西尔瓦诺
nucci,努奇
donati,多纳蒂
saba,萨巴
rosato,罗萨托
angelino,安杰利诺
alfano,阿尔法诺
lucio,卢西奥
dalla,达拉
bruni,布鲁尼
zucconelli,祖科内利
coco,科科
norberto,诺贝托
bobbio,波比欧
reynaudi,雷瑙迪
ugo,乌戈
locatelli,洛卡泰利
amato,阿马托
gambino,甘比诺
cordero,克劳德洛
montezemolo,蒙特泽莫洛
elio,埃利奥
sgreccia,斯格雷恰
edinson,埃丁森
pulici,普利奇
spadolini,斯帕多利尼
delneri,德尔内里
amadeo,阿马迪奥
bordiga,博尔迪加
bombieri,邦别里
da,达
cortona,科尔托纳
eraldo,埃拉尔多
monzeglio,蒙泽利奥
giorgia,乔治亚
meloni,梅洛尼
julius,尤利乌斯
evola,埃佛拉
bertello,贝尔泰罗
diego,迭戈
confalonieri,孔法洛涅里
sebastiano,塞巴斯蒂亚诺
serlio,塞利奥
bonagura,博纳古拉
moreschi,莫雷斯基
domenghini,多门吉尼
musone,穆索内
canestri,卡内斯特里
karin,卡琳
oberhofer,奥伯霍费尔
ignazio,伊尼亚齐奥
silone,西洛内
panucci,帕努奇
carrà,卡拉
camilleri,卡米莱里
signori,西尼奥里
scola,斯科拉
saverio,萨维里奥
costanzo,科斯坦佐
mara,玛拉
zini,齐尼
novella,诺韦拉
calligaris,卡利加里斯
pontecorvo,彭特克沃
zorzi,佐尔齐
klaus,克劳斯
dibiasi,迪比亚西
rampulla,兰普拉
vito,维托
genovese,吉诺维斯
versaldi,威尔萨蒂
pausini,普西妮
casella,卡塞拉
katia,卡蒂娅
verratti,华拉堤
motta,莫达
tonino,托尼诺
domenicali,多梅尼卡利
edera,埃德拉
cordiale,科尔迪亚莱
dorina,多丽娜
vaccaroni,瓦卡罗尼
marino,马里诺
vigna,维尼亚
ilaria,伊拉里娅
bianco,比安科
baghetti,巴盖蒂
marchionni,马尔基奥尼
vitantonio,维塔托尼奥
liuzzi,柳齐
gigi,吉吉
villoresi,维洛雷西
merzario,梅尔扎里奥
musso,穆索
jarno,雅诺
trulli,特鲁利
andretti,安德烈蒂
brambilla,布兰比拉
achille,阿基莱
varzi,瓦尔齐
alessio,阿莱西奥
cerci,切尔奇
martina,马丁娜
valcepina,瓦尔切皮纳
imelda,伊梅尔达
chiappa,基亚帕
davide,达维德
astori,阿斯托里
paletta,帕莱塔
okaka,奥卡卡
guidetti,吉德提
andy,安迪
selva,塞尔瓦
max,马克斯
tonetto,托内托
ulrico,乌尔里科
girardi,吉拉尔迪
nenni,南尼
morandi,莫兰迪
mezzano,梅扎诺
volandri,沃兰德里
cirillo,奇里洛
teresa,特雷莎
filippis,菲利皮斯
scarfiotti,斯卡尔菲奥蒂
moro,莫罗
taruffi,塔鲁菲
zuccari,祖卡里
giacinto,贾钦托
scelsi,谢尔西
bagni,巴尼
dalida,黛莉达
ivan,伊万
zaytsev,扎伊采夫
nicola,尼古拉
sansone,桑索内
antonella,安东内拉
ragnolonzi,拉尼奥隆齐
castellotti,卡斯泰洛蒂
patrese,帕特雷斯
adelmo,阿德尔莫
bulgarelli,布尔加雷利
altobelli,阿尔托贝利
gianpiero,詹皮耶罗
combi,孔比
carminucci,卡尔米努奇
ciro,奇罗
immobile,因莫比莱
ivano,伊瓦诺
brugnetti,布鲁涅蒂
albertosi,阿尔贝托西
ferrari,法拉利
curci,库尔奇
parovel,帕罗韦尔
silvestri,西尔维斯特里
aristide,阿里斯蒂德
guarneri,瓜尔内里
tullio,图利奥
serafin,塞拉芬
faggin,法金
dorino,多里诺
serafini,塞拉菲尼
costa,科斯塔
armin,阿明
zöggeler,策格勒
gorla,戈拉
nespoli,内斯波利
loi,洛伊
licia,莉西亚
ronzulli,罗祖利
berardi,贝拉尔迪
taibi,泰比
fantoni,凡托尼
fisichella,费斯切拉
galiazzo,加利亚佐
ottavio,奥塔维奥
bugatti,布加蒂
