key,value
rīga,里加
jelgava,叶尔加瓦
ventspils,文茨皮尔斯
jēkabpils,耶卡普尔斯
sigulda,锡古尔达
limbaži,林巴日
iecava,伊艾查瓦
zilupe,齐卢佩
seda,谢达
aknīste,阿克尼斯特
staicele,斯泰策莱
code,码
šķesteri,斯克斯特里
allaži,阿拉兹
piltene,皮尔特内
evika,艾维卡
krišjānis,克里什亚尼斯
māris,马里斯
laimdota,莱姆多塔
valdis,瓦尔迪斯
zane,扎内
sandris,桑德里斯
jānis,亚尼斯
valda,瓦尔达
linda,林达
milda,米尔达
dainis,戴尼斯
uldis,乌尔迪斯
maruta,玛鲁塔
edvards,爱德华兹
siliņa,斯利纳
kariņš,卡林什
kučinskis,库奇斯基斯
straujuma,斯特劳尤马
dombrovskis,多姆布罗夫斯基斯
bičevska,比切夫斯卡
lācis,拉齐斯
priede,普里埃德
kļava,克拉瓦
daniela,达涅拉
pūpole,普普莱
tukāns,图坎斯
rokpelnis,罗克佩尔尼斯
brūvere,布鲁韦雷
rečickis,瑞奇茨基斯
