inna,茵娜
george,乔治
emil,埃米尔
palade,帕拉德
alexandra,亚历山德拉
stan,斯坦
nechita,妮齐塔
lidia,利迪娅
șimon,希蒙
georgeta,杰奥尔杰塔
damian,达米安
argentina,阿尔真蒂娜
menis,梅尼斯
vika,维多利亚
jigulina,科涅娃
gheorghe,格奥尔基
albu,阿尔布
gabriela,加布里埃拉
szabó,萨博
angela,安杰拉
gheorghiu,乔治乌
paul,保罗
celan,策兰
miklós,班菲
bánffy,米克洛斯
roxana,罗克萨娜
scarlat,斯卡拉特
ion,扬
c,康斯坦丁
brătianu,布勒蒂亚努
laura,劳拉
badea,巴代亚
tristan,卓斯坦
tzara,查拉
liviu,利维乌
librescu,利布雷斯库
constantin,康斯坦丁
brâncuși,布朗库西
cristian,克里斯蒂安
mungiu,蒙久
ana,安娜
pauker,波克尔
dulgheru,杜尔盖鲁
iulian,尤利安
filipescu,菲利佩斯库
nadia,娜迪亚
comăneci,科马内奇
petre,彼得
roman,罗曼
edward,爱德华
maya,玛雅
victor,维克托
hănescu,哈内斯库
andreea,安德烈娅
grigore,格里戈雷
angelica,安杰莉卡
adelsteinrozeanu,罗泽亚努
diana,迪亚娜
chelaru,凯拉鲁
popescu,波佩斯库
antonescu,安东内斯库
boc,博克
helmut,赫尔穆特
duckadam,杜卡达姆
răzvan,勒兹万
raț,拉茨
mihai,米哈伊
ungureanu,温古雷亚努
sorana,索拉娜
cîrstea,科斯蒂亚
monica,莫妮卡
niculescu,尼古列斯库
andrei,安德烈
pavel,帕维尔
maia,马娅
morgenstern,莫根施特恩
henri,亨利
coandă,科安德
ella,埃拉
zeller,泽勒
sandra,桑德拉
izbașa,伊兹巴沙
doina,多依娜
ignat,伊格纳特
elisabeta,伊丽莎白
lipă,利珀
eugen,欧金
ionescu,约内斯库
nicolae,尼古拉
lupescu,卢佩斯库
văcăroiu,沃克罗尤
theodor,特奥多尔
stolojan,斯托洛然
valeriu,瓦列留
bularca,布拉尔卡
elena,埃列娜
georgescu,佐治斯古
bogdan,博格丹
lobonț,洛邦茨
zsolt,穆日瑙伊
muzsnay,若尔特
ceaușescu,齐奥塞斯库
simona,西蒙娜
halep,哈勒普
iolanda,约兰达
balaș,巴拉什
chivu,基伏
stoica,斯托伊卡
drăgoi,德勒戈伊
daniel,达尼埃尔
prodan,普罗丹
lavinia,拉维尼娅
miloșovici,米洛绍维奇
roșu,罗舒
alina,阿丽娜
dumitru,杜米特鲁
viorica,维奥丽卡
susanu,苏萨努
anamaria,安娜玛丽亚
avram,阿夫拉姆
constanța,康斯坦察
burcicăpipotă,布尔奇克
ciprian,奇普里安
marica,马里卡
constantinescu,康斯坦丁内斯库
traian,特拉扬
băsescu,伯塞斯库
vlad,弗拉德
munteanu,蒙特亚努
dudu,杜杜
györgy,库塔格
kurtág,捷尔吉
timofti,蒂莫夫蒂
maria,玛丽亚
brânză,波佩斯库
iliescu,伊利埃斯库
cătălina,克特利娜
ponor,波诺尔
rădescu,勒代斯库
gino,吉诺
iorgulescu,约尔古列斯库
sorin,索林
ghionea,吉奥尼亚
valeria,瓦列里娅
răcilă,勒奇勒
blandiana,布兰迪亚娜
paula,葆拉
ivan,伊万
melinte,梅林特
iasmin,伊斯明
latovlevici,拉托夫莱维奇
herta,赫塔
müller,米勒
hagi,哈吉
ecaterina,埃卡特琳娜
ștefan,斯特凡
radu,拉杜
sergiu,塞尔久
celibidache,切利比达克
acatrinei,阿卡特里内伊
vali,瓦莉
daniela,达妮埃拉
costian,科斯蒂安
ladislau,拉迪斯劳
simon,希蒙
aurelia,奥雷利娅
dobre,多布雷
adrian,阿德里安
năstase,讷斯塔塞
beatrice,比阿特丽斯
câșlaru,克什拉鲁
violeta,维奥莱塔
becleaszekely,塞凯伊
ponta,蓬塔
filat,菲拉特
harvey,哈维
keitel,凯特尔
cioran,萧沆
amânar,阿默纳尔
silivaș,西莉华丝
linda,琳达
baros,巴洛斯
zamfir,詹斐尔
gabriel,加布里埃尔
tamaș,塔马斯
ileana,伊莱亚娜
silai,西拉伊
mircea,米尔恰
lucescu,卢切斯库
codreanu,科德雷亚努
viorel,维奥雷尔
moldovan,莫尔多万
petru,彼得鲁
groza,格罗查
corneliu,科尔内留
