Paris,巴黎
Marseille,马赛
Lyon,里昂
Toulouse,圖盧茲
Strasbourg,斯特拉斯堡
Nice,尼斯
Nantes,南特
Bordeaux,波尔多
Republic of France,法国
Montpellier,蒙彼利埃
Lille,里尔
Rouen,鲁昂
Rennes,雷恩
Orléans,奥尔良
Dijon,第戎
Vitry-sur-Seine,塞纳河畔维提
Villeurbanne,维勒班
Le Mans,勒芒
Le Havre,勒阿弗尔
Antibes,昂蒂布
Angers,昂热
Amiens,亞眠
Ajaccio,阿雅克肖
Aix-en-Provence,普罗旺斯地区艾克斯
La Rochelle,拉罗歇尔
Clermont-Ferrand,克莱蒙费朗
Grenoble,格勒诺布尔
Issy-les-Moulineaux,伊西萊穆利諾
Saint-Maur-des-Fossés,圣莫代福塞
Saint-Étienne,圣艾蒂安
Saint-Denis,聖但尼
Rueil-Malmaison,吕埃马尔梅松
Roubaix,鲁贝
Reims,兰斯
Perpignan,佩皮尼昂
Poitiers,普瓦捷
Tours,图尔
Tourcoing,图尔宽
Toulon,土伦
Niort,尼奥尔
Nîmes,尼姆
Neuilly-sur-Seine,塞纳河畔讷伊
Nanterre,楠泰尔
Nancy,南希
Mulhouse,米卢斯
Blois,布卢瓦
Besançon,贝桑松
Metz,梅斯
Limoges,利摩日
Levallois-Perret,勒瓦卢瓦-佩雷
Créteil,克雷泰伊
Courbevoie,库尔布瓦
Colombes,白鸽城
Brest,布雷斯特
Boulogne-Billancourt,布洛涅-比扬古
Champigny-sur-Marne,马恩河畔尚皮尼
Cannes,戛纳
Caen,卡昂
Avignon,亞維農
Aulnay-sous-Bois,奧奈叢林
Port-aux-Français,法兰西港
Marigot,马里戈
Gustavia,居斯塔维亚
Wattrelos,瓦特勒洛
Voiron,瓦龙
Viry-Châtillon,维里沙蒂隆
Vincennes,万塞讷
Villiers-sur-Marne,马恩河畔维利耶尔
Villeneuve-sur-Lot,洛特河畔新城
Villeneuve-Saint-Georges,新城圣乔治
Villeneuve-la-Garenne,新城-拉加伦
Villejuif,犹太城
Les Mureaux,缪罗
Le Puy-en-Velay,勒皮
Le Plessis-Robinson,勒普莱西罗班松
Le Perreux-sur-Marne,马恩河畔莱佩尔勒
Le Kremlin-Bicêtre,莱克朗兰比塞特尔
Le Creusot,勒克勒佐
Le Chesnay,勒謝奈
Le Cannet,勒卡內
Le Blanc-Mesnil,勒布朗-梅尼尔
La Valette-du-Var,拉瓦勒特迪瓦
Arras,阿拉斯
Armentières,阿尔芒蒂耶尔
Arles,阿爾勒
Arcueil,亚捷
Annonay,阿诺奈
Annemasse,安纳马斯
Annecy,阿讷西
Angoulême,昂古莱姆
Anglet,昂格莱
Amboise,昂布瓦斯
Ambérieu-en-Bugey,昂贝略昂比热
Alfortville,阿爾福維爾
Alès,阿莱
Alençon,阿朗松
Albi,阿尔比
Albertville,阿尔贝维尔
Aire-sur-la-Lys,利斯河畔艾尔
Agen,阿让
Agde,阿格德
Abbeville,阿布维尔
La Garenne-Colombes,拉加雷訥白鴿城
La Courneuve,新庭
La Ciotat,拉西奥塔
La Seyne-sur-Mer,濱海拉塞訥
La Roche-sur-Yon,永河畔拉罗什
Laon,拉昂
Lannion,拉尼翁
Lanester,拉内斯泰
Landerneau,朗代尔诺
Lambersart,朗贝萨尔
Clamart,克拉马
Cholet,紹萊
Choisy-le-Roi,舒瓦西勒鲁瓦
Cherbourg-Octeville,瑟堡-奥克特维尔
Châtenay-Malabry,沙特奈马拉布里
Châtellerault,沙泰勒罗
Châteauroux,沙托鲁
Chartres,沙特尔
Charleville-Mézières,沙勒维尔-梅济耶尔
Charenton-le-Pont,沙朗通勒蓬
Grasse,格拉斯
Granville,格蘭佛
Gradignan,格拉迪尼昂
Gonesse,戈內斯
Gif-sur-Yvette,伊维特河畔吉夫
Gérardmer,热拉尔德梅
Gennevilliers,热讷维耶
Garges-lès-Gonesse,加尔热莱戈内塞
Gap,加普
Gaillac,盖拉克
Ivry-sur-Seine,塞纳河畔伊夫里
Istres,伊斯特爾
Illzach,伊尔扎克
Illkirch-Graffenstaden,伊尔基尔克格拉方斯塔当
Hyères,伊埃雷
Hérouville-Saint-Clair,埃鲁维尔圣克莱
Herblay,埃尔布莱
Hennebont,埃内邦
Hénin-Beaumont,埃南博蒙
Hendaye,昂代伊
Hazebrouck,阿兹布鲁克
Hayange,艾昂格
Haguenau,阿盖诺
Guyancourt,基揚古爾
