Rome,罗马市
Naples,那不勒斯
Palermo,巴勒莫市
Italian Republic,意大利
Florence,佛罗伦萨
Bari,巴里
Cagliari,卡利亚里
Sardinia,萨丁岛
Trieste,的里雅斯特
Siracusa,锡拉库扎
Messina,墨西拿
Brescia,布雷西亚
Ancona,安科纳
Venice,威尼斯
Trento,特伦托
Padova,帕多瓦
Sicilia,西西里岛
Gela,格拉
Mont Blanc,勃朗峰
Bergamo,贝尔加莫
Lecce,萊切
Lazio,拉齐奥
Toscana,托斯卡纳
Como,科莫
Puglia,普利亚
Prato,普拉托
Piemonte,皮埃蒙特
Veneto,威尼托
Varese,瓦雷澤
Monza,蒙扎
Mestre,梅斯特雷
Mantova,曼托瓦省
Monte Rosa,罗莎峰
Calabria,卡拉布里亚
Campora San Giovanni,肯波拉圣吉奥瓦尼
Crotone,克羅托內
Castelvetrano,卡斯泰尔韦特拉诺
Campania,坎帕尼亚
Boscoreale,博斯科雷亚莱
Lago di Bolsena,博赛纳湖
Basilicata,巴斯利卡塔
Aprilia,阿普里利亞
Lago Albano,阿尔巴诺湖
Liguria,利古里亞
Lago Trasimeno,特拉西梅诺湖
Santa Maria Capua Vetere,圣马里亚卡普阿韦泰雷
Abruzzo,阿布鲁佐
Cremona,克雷莫納
Capua,卡普阿
Riccione,里乔内
Umbria,翁布里亚
Nettuno,聶圖諾
Monferrato,蒙菲拉托
Molise,莫利塞
Marche,马尔凯
Ferrara,费拉拉
Aeolian Islands,埃奥利群岛
Carbonia,卡尔博尼亚
Bronte,布龙泰
Paola,保拉
Mazzarino,马扎里诺
Locri,洛克里
Monte Etna,埃特纳火山
Casteldaccia,卡斯泰尔达恰
Europe,欧洲
Candela,坎德拉
Ardea,阿尔代亚
Lavello,拉韦洛
Laives,拉伊韦斯
Isola d'Elba,厄尔巴岛
Dragoni,德拉戈尼
Tarvisio,塔尔维肖
Spoleto,斯波莱托
Dolomiti,多洛米蒂山脉
Correggio,科雷焦
Cento,琴托
Capri,卡普里岛
Rodengo,罗登戈
Racines,拉奇内斯
Ventimiglia,文蒂米利亚
Lago di Nemi,内米湖
Montignoso,蒙蒂尼奥索
Molina di Ledro,莫利纳迪莱德罗
Massarosa,马萨罗萨
Colosseum,罗马斗兽场
Stadio Olimpico,羅馬奧林匹克體育場
Matterhorn,馬特洪峰
Lago Maggiore,馬焦雷湖
Capistrano,卡皮斯特拉诺
Buggerru,布杰鲁
Belvì,贝尔夫伊
Baucina,包奇纳
Asuni,阿苏尼
Ales,阿莱斯
Acquaro,阿夸罗
Villalba,维拉尔巴
Vazzano,瓦扎诺
Trapani,特拉帕尼省
Taormina,陶尔米纳
Stilo,斯蒂洛
Soleminis,索莱米尼斯
Sciara,夏拉
San Pietro Apostolo,圣皮耶特罗阿波斯托洛
San Luca,圣卢卡
San Fili,圣菲利
San Calogero,圣卡洛杰罗
Roccella Ionica,罗切拉伊奥尼卡
Rizziconi,里齐科尼
Ragusa,拉古薩省
Raddusa,拉杜萨
Pula,普洛
Perdasdefogu,佩尔达斯德福古
Parenti,帕伦蒂
Palermo,巴勒莫省
Nurachi,努拉基
Novara di Sicilia,诺瓦拉迪西奇利亚
Musei,穆塞伊
Messina,墨西拿省
Mandanici,曼达尼奇
Maierato,马伊埃拉托
Longi,隆吉
Lago,拉戈
Grimaldi,格里马尔迪
Giffone,吉福内
Galatro,加拉特罗
Gaggi,加吉
Francica,弗兰奇卡
Ferruzzano,费鲁扎诺
Favignana,法维尼亚纳
Enna,恩納省
Dasà,達薩
Cittanova,奇塔诺瓦
Catania,卡塔尼亞省
Caronia,卡罗尼亚
Cantagallo,坎塔加洛
Canino,卡尼诺
Candiana,坎迪亚纳
Campo Tures,坎波图雷斯
Campo di Trens,坎波迪特伦斯
Campello sul Clitunno,克利通诺河畔坎佩洛
Camigliano,卡米利亚诺
Caldonazzo,卡尔多纳佐
Caderzone Terme,卡德尔佐内
Busachi,布萨基
Burano,布拉諾島
Buonconvento,博恩孔文托
Buglio in Monte,布廖因蒙泰
Brusson,布鲁松
Brenna,布伦纳
