stefano cerioni,스테파노 체리오니,seutepano cerioni
ettore scola,에토레 스콜라,etore seukolra
giorgio napolitano,조르조 나폴리타노,joreujo napolritano
alessandro matri,알레산드로 마트리,alresandeuro mateuri
aldo fabrizi,알도 파브리지,aldo pabeuriji
vittorio gassman,비토리오 가스만,bitorio gaseuman
salvatore quasimodo,살바토레 콰시모도,salbatore kwasimodo
romano prodi,로마노 프로디,romano peurodi
luciano pavarotti,루치아노 파바로티,ruciano pabaroti
martin scorsese,마틴 스코세이지,matin seukoseiji
marcello mastroianni,마르첼로 마스트로이안니,mareucelro maseuteuroianni
romeo bertini,로메오 베르티니,romeo bereutini
ugo tognazzi,우고 토냐치,ugo tonyaci
gabriele detti,가브리엘레 데티,gabeurielre deti
alessandro del piero,알레산드로 델 피에로,alresandeuro del piero
antonio candreva,안토니오 칸드레바,antonio kandeureba
lina wertmüller,리나 베르트뮐러,rina bereuteumwilreo
emiliano sala,에밀리아노 살라,emilriano salra
franco zeffirelli,프란코 체피렐리,peuranko cepirelri
giuseppe tornatore,주세페 토르나토레,jusepe toreunatore
federico marchetti,페데리코 마르케티,pederiko mareuketi
dario fo,다리오 포,dario po
giorgio chiellini,조르조 키엘리니,joreujo kielrini
gennaro gattuso,젠나로 가투소,jennaro gatuso
valentina cervi,발렌티나 체르비,balrentina cereubi
carlo azeglio ciampi,카를로 아첼리오 참피,kareulro acelrio campi
ugo gregoretti,우고 그레고레티,ugo geuregoreti
oscar luigi scalfaro,오스카르 루이지 스칼파로,oseukareu ruiji seukalparo
francesco cossiga,프란체스코 코시가,peuranceseuko kosiga
gianni infantino,잔니 인판티노,janni inpantino
nino manfredi,니노 맘프레디,nino mampeuredi
eugenio montale,에우제니오 몬탈레,eujenio montalre
michele besso,미셸 베소,misyel beso
massimo oddo,마시모 오도,masimo odo
giorgia würth,조르자 뷔르트,joreuja bwireuteu
noemi,노에미,noemi
ludovico einaudi,루도비코 에이나우디,rudobiko einaudi
iván piris,이반 피리스,iban piriseu
mario bava,마리오 바바,mario baba
michelangelo antonioni,미켈란젤로 안토니오니,mikelranjelro antonioni
liliana cavani,릴리아나 카바니,rilriana kabani
angelo di livio,안젤로 디 리비오,anjelro di ribio
monica bellucci,모니카 벨루치,monika belruci
giovanni leone,조반니 레오네,jobanni reone
sandro pertini,산드로 페르티니,sandeuro pereutini
giuseppe saragat,주세페 사라가트,jusepe saragateu
andrea bocelli,안드레아 보첼리,andeurea bocelri
zeno colò,체노 콜로,ceno kolro
gina lollobrigida,지나 롤로브리지다,jina rolrobeurijida
anna magnani,안나 마냐니,anna manyani
ermanno wolfferrari,에르만노 볼프페라리,ereumanno bolpeuperari
rocco siffredi,로코 시프레디,roko sipeuredi
fabio cannavaro,파비오 칸나바로,pabio kannabaro
kaspar capparoni,카스파르 카파로니,kaseupareu kaparoni
emanuele filiberto di savoia,에마누엘레 필리베르토 디 사보이아,emanuelre pilribereuto di saboia
zucchero fornaciari,주케로 포나치아리,jukero ponaciari
filippo inzaghi,필리포 인차기,pilripo incagi
anita pallenberg,아니타 팔렌버그,anita palrenbeogeu
alberto lattuada,알베르토 라투아다,albereuto ratuada
ricardo martinelli,리카르도 마르티넬리,rikareudo mareutinelri
monica vitti,모니카 비티,monika biti
yves montand,이브 몽탕,ibeu mongtang
giovanna ralli,조반나 랄리,jobanna ralri
alida valli,알리다 발리,alrida balri
mariangela melato,마리안젤라 멜라토,marianjelra melrato
silvana mangano,실바나 망가노,silbana manggano
giovanni gronchi,조반니 그론키,jobanni geuronki
antonio segni,안토니오 세니,antonio seni
lucas piazon,루카스 피아종,rukaseu piajong
giulietta masina,줄리에타 마시나,julrieta masina
giovanni trapattoni,조반니 트라파토니,jobanni teurapatoni
marcello lippi,마르첼로 리피,mareucelro ripi
andrea pirlo,안드레아 피를로,andeurea pireulro
tarcisio bertone,타르치시오 베르토네,tareucisio bereutone
marco borriello,마르코 보리엘로,mareuko borielro
luigi einaudi,루이지 에이나우디,ruiji einaudi
enrico de nicola,엔리코 데 니콜라,enriko de nikolra
sophia loren,소피아 로렌,sopia roren
angelo sodano,안젤로 소다노,anjelro sodano
paolo di canio,파올로 디 카니오,paolro di kanio
christian abbiati,크리스티안 아비아티,keuriseutian abiati
josé altafini,조제 알타피니,joje altapini
mario balotelli,마리오 발로텔리,mario balrotelri
manolo gabbiadini,마놀로 가비아디니,manolro gabiadini
andrea barzagli,안드레아 바르찰리,andeurea bareucalri
renato dulbecco,레나토 둘베코,renato dulbeko
claudio pizarro,클라우디오 피사로,keulraudio pisaro
alberto tomba,알베르토 톰바,albereuto tomba
gustav thöni,구스타프 퇴니,guseutapeu toeni
deborah compagnoni,데보라 콤파뇨니,debora kompanyoni
cesare pavese,체사레 파베세,cesare pabese
matteo darmian,마테오 다르미안,mateo dareumian
gianluigi buffon,잔루이지 부폰,janruiji bupon
sergio brio,세르조 브리오,sereujo beurio
gabriel heinze,가브리엘 에인세,gabeuriel einse
gundi busch,군디 부슈,gundi busyu
roberto baggio,로베르토 바조,robereuto bajo
claudia cardinale,클라우디아 카르디날레,keulraudia kareudinalre
giancarlo bercellino,잔카를로 베르첼리노,jankareulro bereucelrino
romeo benetti,로메오 베네티,romeo beneti
luigi bertolini,루이지 베르톨리니,ruiji bereutolrini
ermanno olmi,에르만노 올미,ereumanno olmi
alberto paloschi,알베르토 팔로스키,albereuto palroseuki
antonio cabrini,안토니오 카브리니,antonio kabeurini
roberto bettega,로베르토 베테가,robereuto betega
