ernests,厄内斯特
gulbis,古尔比斯
mihails,米哈伊尔
barišņikovs,巴里什尼科夫
kārlis,卡尔利斯
ulmanis,乌尔马尼斯
frīdrihs,腓特烈
ketlers,克特勒
juris,尤里斯
hartmanis,哈特马尼斯
vitālijs,维塔利耶斯
astafjevs,阿斯塔夫耶夫斯
aleksandrs,亚历山德克斯
cauņa,考纳
tāls,塔尔
pēteris,彼得
vasks,瓦斯克斯
valters,瓦尔特
caps,察普
fertovs,化图夫斯
andris,安德里斯
nelsons,尼尔森斯
mareks,马雷克斯
mejeris,梅耶里斯
jānis,雅尼斯
čakste,恰克斯特
biedriņš,比耶德里尼什
šics,希茨
vaņins,瓦宁斯
valdis,瓦尔季斯
dombrovskis,东布罗夫斯基斯
guntis,贡季斯
rainis,瑞尼斯
egils,埃吉尔斯
levits,莱维茨
pujats,普亚兹
einars,埃纳尔斯
repše,雷普舍
maksimenko,马克西蒙科
herberts,赫柏茨
cukurs,希库尔斯
bērziņš,贝尔津什
jēkabs,雅各布
dzidra,德琪德拉
ritenberga,里腾贝加
augusts,奥古斯特
voss,沃斯
vaira,维拉
vīķefreiberga,薇契斐柏嘉
gidons,基东
krēmers,克雷默
mariss,马里斯
jansons,扬颂斯
miša,米沙
maiskis,麦斯基
dairis,达里斯
bertāns,贝坦斯
vilis,维利斯
lācis,拉齐斯
koliņko,科林科
vilhelms,威廉
stučka,斯图奇卡
zatlers,扎特莱尔斯
šabalovs,沙巴洛夫
kristaps,克里斯塔普斯
janičenoks,扬尼切诺克斯
alfrēds,阿尔弗雷兹
rubiks,鲁比克斯
alberts,阿尔贝茨
kviesis,克维埃西斯
dāvis,戴维斯
aleksejs,阿莱克塞斯
višņakovs,维斯纳科夫斯
kirhenšteins,基尔兴施泰因
uļjana,乌莉娅娜
semjonova,谢苗诺娃
edvīns,埃德温
šnore,斯努尔
ivars,伊瓦尔斯
smilga,斯米尔加
indulis,因杜利斯
emsis,埃姆西斯
aigars,艾加尔斯
kalvītis,卡尔维季斯
māris,马里斯
štrombergs,斯特罗姆伯格斯
rumba,伦巴
peterss,彼得斯
ozoliņš,奥佐林什
godmanis,戈德马尼斯
verpakovskis,维尔帕科夫斯基斯
kauls,考尔斯
anastasija,阿纳斯塔西娅
sevastova,希瓦妥娃
birks,比尔克斯
helmuts,赫尔穆斯
štegmanis,斯蒂格曼
oskars,奥斯卡斯
melbārdis,梅尔巴季斯
laura,劳拉
ikauniece,伊考涅采
peive,佩维
jurijs,尤里
rubenis,鲁本
kristīne,克里斯汀
gurecka,舍费尔
krišjānis,克里沙尼
barons,巴隆斯
ginta,金塔
lapiņa,拉皮娜
eduards,爱德华
liepiņš,列平
rihards,理查德
kols,科尔斯
kaspars,卡斯帕斯
edgars,埃德加斯
vinters,温特尔
blūms,布卢姆斯
porziņģis,波尔津吉斯
aļona,耶莲娜
ostapenko,奥斯塔朋科
agnese,阿格内塞
āboltiņa,阿博尔季尼亚
georgs,格奥尔格斯
pelēcis,佩里西斯
mārtiņš,马丁斯
meiers,美耶斯
kučinskis,库钦斯基斯
liepa,里耶帕
rodions,罗迪昂斯
kurucs,库鲁斯
rolands,罗兰兹
freimanis,弗雷马尼斯
raimonds,雷蒙兹
vējonis,韦约尼斯
deniss,丹尼斯
vasiļjevs,瓦西里耶夫斯
haralds,哈拉尔德斯
deandrē,德安德烈
jedlins,叶德林
briedis,布里迪斯
vucāns,福灿
gunta,冈塔
vaičule,拉迪赛娃
vecvagars,维瓦加斯
strautmanis,斯特劳曼尼斯
laimdota,莱姆多塔
straujuma,斯特劳尤马
artis,阿迪斯
lazdiņš,拉津斯
artūrs,阿图尔斯
plēsnieks,普莱斯尼克斯
strēlnieks,斯特雷尔涅克斯
kristers,克里斯特斯
aparjods,阿帕约兹
rinkēvičs,林克维奇斯
šķēle,什克莱
žanis,扎尼斯
peiners,佩内斯
rebeka,蕾贝卡
ibrahima,易卜拉欣
timma,提马
bels,贝尔斯
vagris,瓦格里斯
evika,埃维卡
siliņa,西利尼亚
elīza,伊丽莎
tīruma,季鲁马
samoilova,萨莫伊洛娃
agnis,阿格尼斯
čavars,恰瓦斯
roberts,罗伯茨
plūme,普吕姆
agate,阿加特
rašmane,拉什马内
bots,博茨
ritvars,里特瓦尔斯
suharevs,苏哈雷夫斯
latvija,拉脱维亚
jūrmala,尤尔马拉
jelgava,叶尔加瓦
jēkabpils,叶卡布皮尔斯
rīga,里加
piltene,皮尔泰内
viļāni,维利亚尼
sabile,萨比莱
aknīste,阿克尼斯泰
viesīte,维耶西泰
jaunjelgava,新叶尔加瓦
zilupe,济卢佩
latgale,拉特加尔
bauska,包斯卡
sigulda,锡古尔达
aizpute,艾兹普泰
smiltene,斯米尔泰内
saulkrasti,绍尔克拉斯蒂
rēzekne,雷泽克内
