éverton,艾华顿
santos,桑托斯
leandro,莱昂德罗
domingues,杜明基斯
deodoro,德奥多罗
da,达
fonseca,丰塞卡
ricardo,里卡多
alexandre,亚历山大
dos,多斯
juan,胡安
silveira,西尔维拉
hulk,浩克
mano,曼诺
menezes,梅内塞斯
luiz,路易斯
adriano,阿德里亚诺
willian,威廉
borges,博尔赫斯
silva,席尔瓦
euller,乌拿
neymar,内马尔
reinaldo,连拿度
cruz,克鲁斯
oliveira,奥利维拉
damião,达米安
júlio,儒利奥
baptista,巴普蒂斯塔
joão,若昂
havelange,阿维兰热
zinho,津尼奥
bebeto,白必图
felipe,费利佩
massa,马萨
pato,柏图
bruno,布鲁诺
senna,塞纳
nílton,尼顿
gisele,吉赛尔
bündchen,邦辰
adriana,阿德里安娜
lima,利马
alessandra,亚历桑德拉
ambrósio,安布罗休
kevin,凯文
kurányi,库兰伊
valdir,瓦尔迪尔
benedito,贝内迪托
nélson,尼尔森
luís,路易斯
kerchner,克尔希纳
zilda,齐尔达
arns,阿恩斯
heitor,海托尔
villalobos,维拉罗伯斯
juninho,儒尼尼奥
pernambucano,佩南布卡诺
oscar,奥斯卡
niemeyer,尼迈耶
bernard,伯纳德
anício,阿尼西奥
caldeira,卡尔德拉
duarte,杜阿尔特
ramires,拉美利斯
donizete,多尼泽特
bernardo,贝尔纳多
fernandes,费尔南德斯
ramon,拉蒙
fernando,费尔南多
rech,列治
jorge,豪尔赫
amado,亚马多
carmen,卡门
miranda,米兰达
zózimo,索斯莫
ademar,艾迪马
de,德
barros,巴罗斯
hebe,赫柏
camargo,卡马戈
juscelino,儒塞利诺
kubitschek,库比契克
getúlio,热图利奥
vargas,瓦加斯
elano,埃拉诺
edmilson,艾美臣
alves,阿尔维斯
dida,迪达
isabeli,伊莎贝莉
fontana,芳塔娜
gilberto,吉尔伯托
thiago,蒂亚戈
motta,莫达
ranieri,拉涅里
mazzilli,马齐利
figueiredo,菲格雷多
fabiano,法比亚诺
david,大卫
marcos,马科斯
carlos,卡洛斯
alberto,阿尔贝托
parreira,佩雷拉
gustavo,古斯塔沃
kuerten,库尔滕
everton,艾弗顿
ramos,拉莫斯
dias,迪亚斯
lopes,洛佩斯
tigrão,卢比斯
ânderson,安达臣
jairzinho,雅伊济尼奥
jean,谢安
carlo,卡路
witte,韦迪
alcindo,艾仙度
sartori,沙杜尼
diego,迭戈
souza,苏沙
gama,伽玛
josé,若泽
ferreira,费雷拉
filho,菲略
ayrton,艾尔顿
grafite,加菲迪
robert,罗伯特
almeida,阿尔梅达
fellype,菲利佩
gabriel,加布里埃尔
paulo,保罗
silas,西拉斯
lucas,卢卡斯
piazón,皮亚松
gilson,基仙奴
do,多
amaral,阿马拉尔
fábio,法比奥
aurélio,奥雷利奥
vítor,维托尔
júnior,儒尼奥尔
dunga,邓加
alessandro,亚历山德罗
cambalhota,坎巴尔霍塔
eduardo,爱德华多
francisco,弗朗西斯科
neto,内托
almir,阿尔米尔
fraga,弗拉加
andré,安德烈
marcio,马斯奥
richardes,李察迪斯
andrade,安德拉德
sandro,桑德罗
cardoso,卡尔多索
vilém,维兰
flusser,傅拉瑟
maxwell,马克斯韦尔
scherrer,舒尔勒
cabelino,卡贝里诺
denílson,丹尼逊
pereira,佩雷拉
neves,内维斯
sammir,森美亚
eder,埃德尔
citadin,奇塔丁
martins,马丁斯
rubens,鲁本斯
barrichello,巴里切罗
alice,艾莉丝
braga,布拉加
morena,莫雷纳
baccarin,巴卡林
roberto,罗伯托
dinamite,迪纳米特
alcântara,阿尔坎塔拉
rosset,罗塞特
hugo,乌戈
arthuso,亚瑟索
cicinho,西西尼奥
zonta,宗塔
nelson,内尔松
piquet,毕奇
lacerda,拉塞尔达
marta,玛塔
izabel,伊莎贝尔
goulart,古拉特
fabiana,法比亚娜
murer,穆雷尔
coelho,科埃略
pelé,比利
antônio,安东尼奥
assunção,阿松桑
elkeson,艾克森
henrique,恩里克
jordana,乔丹娜
brewster,布鲁斯特
freire,弗莱雷
rivellino,里维利诺
leiva,雷瓦
eike,埃克
batista,巴蒂斯塔
renato,雷纳托
dirnei,迪尔内
florêncio,弗洛伦西奥
cléo,克莱奥
emerson,埃默松
fittipaldi,菲蒂帕尔迪
toninho,托尼尼奥
cerezo,塞雷佐
di,迪
grassi,格拉西
sônia,索尼娅
