key,value
evika,에비카
siliņa,실리나
krišjānis,크리자니스
kariņš,Kariņš
māris,마리스
kučinskis,쿠친스키스
laimdota,라임도타
straujuma,Straujuma
valdis,발디스
dombrovskis,돔브로브스키스
zane,제인
bičevska,Bičevska
sandris,산드리스
lācis,곰
jānis,야니스
priede,프리데
valda,발다
kļava,메이플
linda,린다
daniela,다니엘라
milda,밀다
pūpole,Pupole
dainis,다이니스
tukāns,투칸
uldis,울디스
rokpelnis,록펠니스
maruta,마루타
brūvere,브루
edvards,에드워드
jānis,야니스
rečickis,Rečickis
rīga,리가
jelgava,Jelgava
ventspils,벤츠필스
jēkabpils,Jēkabbils
sigulda,시굴다
limbaži,림바지
iecava,이에카바
zilupe,질루페
seda,세다
aknīste,Akniste
staicele,Staicele
code,코드
šķesteri,세스테리
allaži,알라지
piltene,필테네
