Thomas Kraft (Fußballspieler),托馬斯·克拉夫特
Georg Schwarzenbeck,格奥尔格·施瓦岑贝克
Giovane Élber,吉奥瓦尼·埃尔伯
Martin Schulz,馬丁·舒爾茨
Angela Merkel,安格拉·默克爾
Sabine Bau,扎比内·鲍
Roman Neustädter,羅曼·諾伊施泰特
Benedikt XVI.,本篤十六世
Elmar Borrmann,埃尔马·博尔曼
Robert Felisiak,罗伯特·费利西亚克
Ferdinand Tönnies,斐迪南·滕尼斯
Dirk Nowitzki,德克·诺维茨基
Richard David Precht,理查德·大卫·普雷希特
Luise Rainer,露薏絲·蕾娜
Albert Einstein,阿尔伯特·爱因斯坦
Carl Amery,卡尔·阿莫瑞
Franz Mehring,弗兰茨·梅林
Jürgen Grabowski,尤尔根·格拉博夫斯基
Rupprecht von Bayern,鲁普雷希特·(巴伐利亚王储)
Bernd Hölzenbein,贝恩德·赫尔岑拜因
Peter Sloterdijk,彼德·斯洛特戴克
Tom Schilling,汤姆·希林
Fritz Lang,弗里茨·朗
Emre Can,埃姆雷·詹
James Krüss,詹姆斯·克吕斯
Helmut Kohl,赫尔穆特·科尔
Kurt Georg Kiesinger,库尔特·乔治·基辛格
Gerhard Schröder,格哈特·施羅德
Ludwig Erhard,路德维希·艾哈德
Udo Wagner,乌多·瓦格纳
Bastian Schweinsteiger,巴斯蒂安·施魏因斯泰格
Carl Orff,卡尔·奥尔夫
Rudi Lochner,鲁道夫·洛赫纳
Günter Netzer,君特·内策尔
Werner Herzog,韋納·荷索
Arnd Schmitt,阿恩德·施米特
Albrecht von Bayern (1905–1996),阿尔布雷希特·(巴伐利亚)
Gerhard Ludwig Müller,吉拉·类斯·缪勒
Rainer Maria Woelki,萊內·瑪利亞·沃爾基
Markus Wasmeier,马库斯·瓦斯迈尔
Ulrich Schreck,乌尔里希·施雷克
Sepp Maier,塞普·迈尔
Rudolf Mößbauer,鲁道夫·穆斯堡尔
Max Klinger,马克斯·克林格尔
Trixi Worrack,特丽西·沃拉克
Christian Wulff,克里斯蒂安·武尔夫
Silvio Gesell,西爾維奧·格塞爾
Joachim Gauck,约阿希姆·高克
Björn Otto,比约恩·奥托
David Storl,达维德·施托尔
Robert Harting,罗伯特·哈丁
Helmut Schmidt,赫尔穆特·施密特
Eike Batista,埃克·巴蒂斯塔
Karl Albrecht,卡尔·阿尔布雷希特
Tom Wlaschiha,湯姆·拉斯齊哈
Fritz Walter,弗里茨·瓦尔特
Horst Köhler,霍斯特·克勒
Paul Breitner,保罗·布莱特纳
Rudi Völler,鲁迪·沃勒尔
Franzl Lang,弗朗茨·朗
Konrad Adenauer,康拉德·阿登纳
Zedd,捷德
Gonzalo Castro,干沙路·卡斯度
Marc Forster,馬克·福斯特
Ulrike Nasse-Meyfarth,烏爾麗克·邁法特
Ludwig Schick,路德维希·希克
Hanna Schygulla,漢娜·許古拉
Ingo Weißenborn,英戈·魏森博恩
Reinhard Marx,赖因哈德·马克思
Thorsten Weidner,托尔斯滕·魏德纳
Franz von Stuck,弗朗茨·冯·施图克
Alexander Koch (Fechter),亚历山大·科赫
Rainer Bonhof,赖纳·邦霍夫
Bernhard Langer (Golfspieler),伯納德·蘭格
Karl Lehmann,嘉祿·萊曼
Johannes Rau,約翰內斯·勞
Stefan Bötticher,斯特凡·伯蒂歇尔
Markus Steuerwald,馬庫斯·斯圖瓦特
Reinhard Bütikofer,萊因哈德·比蒂科夫
Uli Hoeneß,乌利·赫内斯
Herbert Klein (Schwimmer),赫伯特·克莱因
Bernd Schuster,贝恩德·舒斯特尔
Ludwig III. (Bayern),路德维希三世·(巴伐利亚)
Feodor Lynen,费奥多尔·吕嫩
Ernst Otto Fischer,恩斯特·奥托·菲舍尔
Paul von Hindenburg,保罗·冯·兴登堡
Mario Gómez,马里奥·戈麦斯
Walter Meyer (Ruderer),瓦尔特·迈尔
Filip Adamski,菲利普·亚当斯基
Jochen Rindt,约亨·林特
Franz Josef Strauß,弗朗茨·約瑟夫·施特勞斯
Horst Seehofer,霍斯特·泽霍费尔
Sidney Sam,西德尼·薩姆
Walter Eucken,瓦尔特·奥伊肯
Franz Beckenbauer,弗朗茨·贝肯鲍尔
Katrin Göring-Eckardt,凱特琳·艾卡特
Hermann Staudinger,赫尔曼·施陶丁格
Anne-Sophie Mutter,安娜-苏菲·穆特
Uwe Rahn,乌维·拉恩
Erich Maria Remarque,埃里希·玛利亚·雷马克
Pierre Littbarski,皮埃尔·利特巴尔斯基
Otfried Preußler,奧飛·普思樂
Andreas Ottl,安德列亚斯·奥特尔
Nico (Sängerin),Nico
Richard von Weizsäcker,里夏德·馮·魏茨澤克
Roman Herzog,罗曼·赫尔佐克
Walter Scheel,瓦尔特·谢尔
Karl Carstens,卡尔·卡斯滕斯
Gustav Heinemann,古斯塔夫·海涅曼
Heinrich Lübke,海因里希·吕布克
Ursel Brunner,烏塞爾·布魯納
Theodor Heuss,特奥多尔·豪斯
Egon Krenz,埃贡·克伦茨
Manfred Gerlach,曼弗雷德·格拉赫
Erich Honecker,埃里希·昂纳克
Lothar Matthäus,洛塔尔·马特乌斯
Uwe Seeler,乌韦·泽勒
Friedrich Ebert,弗里德里希·艾伯特
Marcel Reich-Ranicki,马塞尔·莱希-拉尼基
Hermann Haken (Physiker),赫尔曼·哈肯
Konrad Bloch,康拉德·布洛赫
Oliver Riedel,奥利弗·里德尔
Ottmar Hitzfeld,奥特马·希茨费尔德
Rita König,丽塔·柯尼希
Birol Ünel,比罗尔·于内尔
Anja Fichtel,安雅·菲希特尔
Monika Weber (Fechterin),莫妮卡·韦伯
Edmund Stoiber,埃德蒙德·斯托伊贝
Stefan Effenberg,斯特凡·埃芬伯格
Hans Magnus Enzensberger,漢斯·馬格努斯·恩岑斯貝格爾
Hermann Hesse,赫尔曼·黑塞
Herta Müller,赫塔·米勒
Bernard Katz,伯纳德·卡茨
Jonas Reckermann,约纳斯·雷克曼
Laura Ludwig,劳拉·路德维希
Eugen Polanski,欧根·波兰斯基
Julius Brink,尤利乌斯·布林克
Joachim Löw,约阿希姆·勒夫
Wilfried Dietrich,维尔弗里德·迪特里希
Adolf Butenandt,阿道夫·布特南特
Oliver Kirch,奧利弗·基爾希
Ernst Mayr,恩斯特·瓦尔特·迈尔
Betty Heidler,贝蒂·海德勒
Sandra Bullock,珊卓·布拉克
Wolfgang Overath,沃尔夫冈·奥弗拉特
Ronny König,罗尼·柯尼希
Günther Beckstein,京特·贝克施泰因
Martin Schmitt,马丁·施米特
Christian Weber (NS-Funktionär),克里斯蒂安·韦伯
Raphael Schäfer,拉斐爾·舍費爾
Heinrich Rubens,海因里希·鲁本斯
Markus Söder,马库斯·索德尔
Adalbert von Preußen (1884–1948),普魯士的阿達爾貝特·(1884年)
Alfred Schwarzmann,阿尔弗雷德·施瓦茨曼
Albrecht III. (Bayern),阿爾布雷希特三世·(巴伐利亞)
Tim Hoogland,蒂姆·霍格蘭
Lothar Collatz,洛薩·考拉茲
Frank Ordenewitz,弗蘭克·奧爾德內維茨
Christina Obergföll,克里斯蒂娜·奥贝格弗尔
Georg Hackl,格奥尔格·哈克尔
Linda Stahl,琳达·施塔尔
Adrian Sutil,艾德里安·苏蒂尔
Peer Steinbrück,佩尔·施泰因布吕克
Albert Schweitzer,阿爾伯特·史懷哲
Margot Frank,瑪戈·法蘭克
Ludwig Mies van der Rohe,路德維希·密斯·凡德羅
Stefan Raab,斯蒂芬·拉布
Otto Frank,奧托·弗蘭克
Agnes Pockels,阿格尼丝·波克尔斯
Günter Grass,君特·格拉斯
Meinhard III.,邁因哈德三世
Georg (Braunschweig-Calenberg),格奧爾格·(不倫瑞克-卡倫貝格)
Valerius Cordus,瓦勒留斯·科尔杜斯
Rosa Luxemburg,羅莎·盧森堡
Gerhard Stöck,格哈德·施特克
Karl-Hans Riehm,卡尔-汉斯·里姆
Heinrich Böll,海因里希·伯尔
Oliver Lampe,奥利弗·兰珀
Günther Herbig,根特·赫比希
Ewald-Heinrich von Kleist,埃瓦爾德-海因里希·馮·克萊斯特-舒曼森
Elisabeth Charlotte von der Pfalz (1597–1660),普法爾茨的伊莉莎白·夏洛特·(1597-1660)
Harald Schmid (Leichtathlet),哈拉尔德·施密德
Dorothea von Brandenburg-Kulmbach,布蘭登堡的多蘿西亞
Vlastimil Hort,弗拉斯季米尔·霍特
Agnes-Maria von Andechs-Meranien,阿格尼絲·德·梅拉涅
Lena Meyer-Landrut,萊娜·邁爾-蘭德魯特
Ludwig Georg Simpert,路德維希·格奧爾格·(巴登-巴登)
Toni Garrn,東妮·伽姆
Christoph Blumhardt,克里斯多福·布魯哈德
Maria Emanuel Markgraf von Meißen,玛利亚·埃曼努埃尔
Martin Noth,马丁·诺特
Carl Gustav Hempel,卡尔·亨普尔
Heinrich Ehrler,海因里希·埃爾勒
Heidi Biebl,海迪·比布尔
Philipp Lahm,菲利普·拉姆
Sebastian Vettel,塞巴斯蒂安·維泰爾
Ernst Lubitsch,恩斯特·劉別謙
Gerd Müller,盖德·穆勒
Joachim I. (Brandenburg),約阿希姆一世
Sami Khedira,萨米·赫迪拉
Bernhard Weiß (Jurist),伯恩哈德·魏斯
Hilde Schrader,希尔德·施拉德尔
Thomas Müller,托马斯·穆勒
Tommy Haas,托米·哈斯
Peter Frenkel,彼得·弗伦克尔
Karl Hein,卡尔·海因
Ulrich von Wilamowitz-Moellendorff,乌尔里希·冯·维拉莫维茨-默伦多夫
Gottfried Heinrich zu Pappenheim,戈特弗里德·冯·帕本海姆
Philipp (Pfalz),菲利普·(普法爾茨選侯)
Carl von Linde,卡尔·冯林德
Karl II. August,卡爾二世·奧古斯特
Heinz Keßler,海因茨·凱斯勒
Georg Ludwig von Schleswig-Holstein-Gottorf,格奧爾格·路德維希·(什勒斯維希-霍爾斯坦-戈托普)
Mark Warnecke,马克·瓦内克
Rita Wilden,丽塔·维尔登
Thomas Rupprath,托马斯·鲁普拉特
Rüdiger von der Goltz (Offizier),吕迪格·冯·德·戈尔茨
August II. (Braunschweig-Wolfenbüttel),奧古斯特二世·(不倫瑞克-沃爾芬比特爾)
Wolfgang Haken,沃夫冈·哈肯
Wilhelm Wien,威廉·维恩
Klaus Wowereit,克劳斯·沃韦赖特
Max Bauer (Offizier),马克斯·鲍尔
Rolf-Dieter Heuer,羅爾夫-迪特爾·霍耶爾
Norbert Röttgen,諾伯特·洛特根
Erika Steinbach,艾麗卡·施泰恩巴赫
Karl Josef Becker,嘉祿·若瑟·貝克爾
Viktoria Rebensburg,维多利亚·雷本斯堡
Maria Höfl-Riesch,玛丽亚·赫夫尔-里施
Kurt Welter,庫特·維爾特
Paul Rudolph (Physiker),保罗·儒道夫
Alexander Markowitsch Ostrowski,亞歷山大·馬雅科維奇·奧斯特洛夫斯基
Nikolaus von Oldenburg,尼库劳斯·(奥尔登堡)
Walter Kaufmann (Physiker),沃尔特·考夫曼
Otto Lehmann (Physiker),奥托·雷曼
Max Lorenz (Sänger),马克斯·洛伦茨·(歌唱家)
Christoph II. (Baden-Rodemachern),克里斯托夫二世·(巴登-罗德马亨)
Sophie Luise zu Mecklenburg-Schwerin,索菲·路易絲·(梅克倫堡-施威林)
Günther Maleuda,京特·马洛伊达
Gerhard Klopfer,格哈德·克洛普佛
Johann Adolf I. (Sachsen-Weißenfels),約翰·阿道夫一世
Gisela Birkemeyer,吉塞拉·比克迈尔
Heinrich Severloh,海因里希·塞弗罗
Martin Ebbertz,馬丁·埃柏茲
Bibiana Beglau,比比安娜·贝格劳
Adolf Seilacher,阿道夫·塞拉赫
Günther Lützow,君特·吕佐夫
Sabine Busch,扎比内·布施
Erwin Schrödinger,埃尔温·薛定谔
Leni Riefenstahl,莱尼·里芬斯塔尔
Margarethe von Trotta,玛加蕾特·冯·特罗塔
Klaus Kinski,克勞斯·金斯基
Danny Latza,丹尼·拉察
Kurt Weill,寇特·威爾
Johann Georg (Sachsen-Weißenfels),約翰·格奧爾格·(薩克森-魏森費爾斯)
Engelbert Humperdinck,恩格尔贝特·洪佩尔丁克
Max Ophüls,馬克思·歐弗斯
Friedrich Wilhelm Murnau,F·W·穆瑙
Wim Wenders,溫·韋德斯
Ludwig Kaas,路德维希·卡斯
Friedrich Wilhelm (Sachsen-Meiningen),腓特烈·威廉·(薩克森-邁寧根)
Johann Wilhelm (Sachsen-Jena),約翰·威廉·(薩克森-耶拿)
Heinz Lammerding,海因茨·拉默丁
Michael Schumacher,迈克尔·舒马赫
Wolfgang Scheidel,沃尔夫冈·沙伊德尔
Wolfgang Danne,沃尔夫冈·丹内
Margot Glockshuber,玛戈·格洛克斯胡贝尔
Urban Hettich,乌尔班·黑蒂希
Karl Wilhelm Friedrich (Brandenburg-Ansbach),卡爾·威廉·腓特烈
Robin Benzing,羅賓·本青
Helmut Bantz,赫尔穆特·班茨
Fanny Fischer,范妮·菲舍尔
Florian Schwarthoff,弗洛里安·施瓦特霍夫
Katja Seizinger,卡特娅·赛青格
Täve Schur,特弗·舒尔
Gustav Radbruch,古斯塔夫·拉德布鲁赫
Otto von Northeim,諾特海姆的奧托·(巴伐利亞公爵)
Ellen von Unwerth,艾伦·冯·翁维尔特
Maximilian Maria von Thurn und Taxis,馬克西米利安·馬利亞·(圖恩和塔克西斯)
Friedrich III. (Sachsen-Gotha-Altenburg),腓特烈三世·(薩克森-哥達-阿爾滕堡)
Anton Ulrich (Sachsen-Meiningen),安東·烏爾里希·(薩克森-邁寧根)
Philipp Lenard,菲利普·莱纳德
Max von Laue,马克斯·冯·劳厄
Joseph H. Pilates,約瑟夫·皮拉提斯
Nadine Kleinert,娜丁·克莱纳特
Gertrud von Helfta,大格特魯德
Peter Rühmkorf,彼得·呂姆克爾夫
Heinrich IV. (Mecklenburg),海因里希四世·(梅克倫堡)
Hannelore Kraft,汉内洛蕾·克拉夫特
Johann Andreas Stein,约翰·安德鲁斯·史坦因
Nelly Sachs,内莉·萨克斯
Jürgen Klinsmann,尤尔根·克林斯曼
Hermann Josef Abs,赫尔曼·约瑟夫·阿布斯
Alexander Popp (Tennisspieler),亞歷山大·波普
Marc-Kevin Goellner,马克-凯温·格尔纳
Otto Liebmann,奥托·李卜曼
Anja Selbach,安雅·胡贝尔
Otto Stern (Physiker),奥托·施特恩
Steffi Graf,施特菲·格拉夫
Ernst Nolte,恩斯特·諾爾特
Kurt Beck,库特·贝克
Jürgen Geschke,于尔根·格施克
Roland Wetzig,罗兰·韦齐希
Verona Pooth,薇若娜·普什
Christian III. (Pfalz-Zweibrücken),克里斯蒂安三世·(普法爾茨-茨魏布呂肯)
Johann Ernst III. (Sachsen-Weimar),約翰·恩斯特三世
Ludwig IX. (Bayern),路易九世·(巴伐利亞)
Stephan I. (Bayern),斯特凡一世·(巴伐利亞)
Hans von Obstfelder,汉斯·冯·奥布斯特费尔德
Judith von Schweinfurt,尤蒂斯·馮·什文福
Wilhelm Worringer,威廉·沃林格
Alexandra Maria Lara,亚历山德拉·玛丽亚·拉那
Franka Potente,法蘭卡·波坦特
Wilhelm Ostwald,威廉·奥斯特瓦尔德
Michael Ballack,米夏埃尔·巴拉克
Johannes Stark,约翰内斯·斯塔克
Maria Goeppert-Mayer,玛丽亚·格佩特-梅耶
Oswald Spengler,奧斯瓦爾德·斯賓格勒
Wilhelm Canaris,威廉·卡纳里斯
Albrecht Kossel,阿尔布雷希特·科塞尔
Anna von Kleve,克莱沃的安娜
Cem Özdemir,傑姆·奧茲德米爾
Reinhard Selten,赖因哈德·塞尔滕
Jens Lehmann,延斯·莱曼
Diane Kruger,黛安·克魯格
Peter Grünberg,彼得·格林贝格
Otto Meyerhof,奧托·邁爾霍夫
Kurt von Schleicher,庫爾特·馮·施萊謝爾
Hans-Ulrich Rudel,汉斯-乌尔里希·鲁德尔
Richard Strauss,理查德·施特劳斯
Erich von Manstein,埃里希·冯·曼施坦因
Uwe Ampler,乌韦·安普勒
Johann Ludwig Graf Schwerin von Krosigk,魯茨·格拉夫·什未林·馮·科洛希克
Markus Weinzierl,马库斯·魏因齐尔
Dietrich von Hildebrand,迪特里希·馮·希爾德布蘭
Ernst Barkmann,恩斯特·巴克曼
Otto Heckmann,奧托·海克曼
Ewald von Kleist (Generalfeldmarschall),埃瓦尔德·冯·克莱斯特
Alfred Hugenberg,阿尔弗雷德·胡根贝格
Gudrun Ensslin,古德伦·恩斯林
Wolfgang Schäuble,沃尔夫冈·朔伊布勒
Ernst Busch (Offizier),恩斯特·布施·(陆军元帅)
Christian II. (Pfalz-Zweibrücken-Birkenfeld),克里斯蒂安二世·(普法爾茨-茨魏布呂肯-比肯費爾德)
Wilhelm (Sachsen-Weimar),威廉·(薩克森-威瑪公爵)
Gisela von Schwaben,士瓦本的吉塞拉
Thomas Hitzlsperger,托马斯·希策尔斯佩格
Erich von Falkenhayn,埃里希·馮·法金漢
Jürgen Trumpf,尤尔根·特兰普夫
Georg Moritz von Sachsen-Altenburg,格奥尔格·莫里茨·(萨克森-阿尔滕堡)
Leonard Nelson,伦纳德·尼尔森
Erich Raeder,埃里希·雷德尔
Philippine Charlotte von Preußen,普魯士的菲律賓·夏洛特
Patrick Funk,帕特里克·丰克
Hanna Reitsch,漢娜·瑞奇
Hermann Müller (Reichskanzler),赫爾曼·穆勒
Adolf Galland,阿道夫·加兰德
Gustav Bauer,古斯塔夫·鲍尔
Ernst von Bayern (1554–1612),恩斯特·冯·拜恩
Gertrud von Sachsen (1115–1143),敘普林根堡的格特魯德
Hans Coppi,汉斯·科皮
Werner Haase (Mediziner),维尔纳·哈泽
Wu Jiaduo,吴佳多
Oskar Perron,奧斯卡·佩龍
Alois Schloder,阿洛伊斯·施洛德
Karl Kreutzberg,卡尔·克罗伊茨贝格
Richard Musgrave,理查·馬斯格雷夫
Martin Schwalb,马丁·施瓦尔布
Johann III. (Sachsen-Weimar),約翰二世·(薩克森-威瑪)
Camillo Karl Schneider,卡米洛·卡爾·施奈德
Friedrich Anton Ulrich (Waldeck-Pyrmont),腓特烈·安東·烏爾里希
Richard Brauer,理查德·布饶尔
Jürgen Moser (Mathematiker),于尔根·莫泽
Paul Peter Ewald,保罗·彼得·埃瓦尔德
Cornelia Pfohl,科尔内利娅·普福尔
Wilhelm Müller (Handballspieler),威廉·米勒·(手球运动员)
Erik Hansen (General),埃里克-奥斯卡·汉森
Heinz Rögner,海因茨·罗格纳
Wilhelm I. (Hessen-Rotenburg),威廉一世·(黑森-羅滕堡)
Maximilian Wilhelm von Braunschweig und Lüneburg,馬克西米利安·威廉·(不倫瑞克-呂訥堡)
Julia Dietze,茱莉亚·迭泽
Heinrich XLV. (Reuß jüngere Linie),亨利四十五世·(罗伊斯-施莱茨)
Gregor Gysi,格雷戈爾·吉西
Timo Hildebrand,蒂莫·希尔德布兰
Walther von Brauchitsch,瓦尔特·冯·布劳希奇
