key,value
rīga,リガ
jelgava,エルガヴァ
ventspils,ヴェンツピルス
jēkabpils,イェカブピルス
sigulda,シグルダ
limbaži,リンバージ
iecava,イエツァヴァ
zilupe,ジルペ
seda,セダ
aknīste,アクニーステ
staicele,スタイツェレ
code,コデ
šķesteri,シュケーステリ
allaži,アラージ
piltene,ピルテネ
evika,エヴィカ
krišjānis,クリシャーニス
māris,マーリス
laimdota,ライムドタ
valdis,ヴァルディス
zane,ザネ
sandris,サンドリス
jānis,ヤーニス
valda,ヴァルダ
linda,リンダ
milda,ミルダ
dainis,ダイニス
uldis,ウルディス
maruta,マルタ
edvards,エドヴァルズ
siliņa,シリーニャ
kariņš,カリーンシュ
kučinskis,クチンスキス
straujuma,ストラウユマ
dombrovskis,ドンブロフスキス
bičevska,ビチェフスカ
lācis,ラーツィス
priede,プリェーデ
kļava,クラーヴァ
daniela,ダニエラ
pūpole,プーポレ
tukāns,トゥカーンス
rokpelnis,ロクペルニス
brūvere,ブルーヴェレ
rečickis,レチツキス
