key,value
evika,エビカ
siliņa,シリナ
krišjānis,クリスジャニス
kariņš,カリシュ
māris,マリス
kučinskis,クチンスキス
laimdota,ライムドータ
straujuma,ストラウジュマ
valdis,ヴァルディス
dombrovskis,ドンブロフスキス
zane,ゼイン
bičevska,ビチェフスカ
sandris,サンドリス
lācis,クマ
jānis,ジャニス
priede,プライド
valda,ヴァルダ
kļava,メイプル
linda,リンダ
daniela,ダニエラ
milda,ミルダ
pūpole,プポル
dainis,ダイニス
tukāns,トゥカン
uldis,ウルディス
rokpelnis,ロクペルニス
maruta,丸田
brūvere,ブリューワー
edvards,エドワード
jānis,ジャニス
rečickis,レチキス
rīga,リガ
jelgava,エルガヴァ
ventspils,ヴェンツピルス
jēkabpils,イェカブピルス
sigulda,スィグルダ
limbaži,リンバジ
iecava,イエチャヴァ
zilupe,ジルペ
seda,瀬田
aknīste,アクニステ
staicele,シュタイツェル
code,コード
šķesteri,シェステリ
allaži,アッラージ
piltene,ピルテネ
