de_toːmas	托马斯
de_kʁaft	克拉夫特
de_ɡeoɐk	格奥尔格
de_ʃvaɐt͡sənbek	施瓦岑贝克
de_ɡioːfanə	吉奥瓦尼
de_maɐtin	马丁
de_ʃult͡s	舒尔茨
de_aŋeːlaː	安格拉
de_meɐkel	默克尔
de_zaːbinə	扎比内
de_bauh	鲍
de_ʁoːman	罗曼
de_noystetɐ	诺伊施泰特
de_elmaɐ	埃尔马
de_boɐʁman	博尔曼
de_ʁoːbeɐt	罗伯特
de_feːliːsiak	费利西亚克
de_feɐdiːnant	斐迪南
de_tøniːs	滕尼斯
de_diɐk	迪尔克
de_noːvit͡skiː	诺维茨基
de_ʁiːxaɐt	理查德
de_daːfit	大卫
de_luisə	路易丝
de_ʁainɐ	赖纳
de_albeɐt	阿尔伯特
de_ainstain	爱因斯坦
de_kaɐl	卡尔
de_ameʁy	阿莫瑞
de_meːʀiŋk	梅林
de_jyɐɡən	于尔根
de_kʁaːbovskiː	格拉博夫斯基
de_beɐnt	贝恩德
de_hølt͡sənbain	赫尔岑拜因
de_petɐ	彼得
de_sloːteɐdijk	斯洛特戴克
de_ʃiliŋk	希林
de_fʁit͡s	弗里茨
de_laŋk	朗
de_kan	詹
de_kʁys	克吕斯
de_helmut	赫尔穆特
de_koːl	科尔
de_kuɐt	库尔特
de_kiːsiŋɐ	基辛格
de_ɡeɐhaɐt	格哈德
de_ʃʁødɐ	施罗德
de_lutvik	路德维希
de_eɐhaɐt	埃哈德
de_uːdoː	乌多
de_vaknɐ	瓦格纳
de_bastian	巴斯蒂安
de_ʃvainstaiɡɐ	施魏因斯泰格
de_oɐf	奥尔夫
de_ʁuːdiː	鲁迪
de_loxnɐ	洛赫纳
de_ɡyntɐ	君特
de_net͡sɐ	内策尔
de_veɐnɐ	维尔纳
de_heɐt͡sok	赫尔佐克
de_aɐnt	阿恩德
de_ʃmit	施米特
de_mylɐ	米勒
de_maːʀia	玛丽亚
de_voelkiː	沃尔基
de_maɐkus	马库斯
de_vasmaiɐ	瓦斯迈尔
de_ulʁix	乌尔里希
de_ʃʁek	施雷克
de_zep	塞普
de_maiɐ	迈尔
de_ʁuːdolf	鲁道夫
de_møsbauɐ	穆斯堡尔
de_kliŋɐ	克林格尔
de_tʁiksiː	特丽西
de_voɐʁak	沃拉克
de_xʁistian	克里斯蒂安
de_vulf	武尔夫
de_ɡeːsel	格塞尔
de_joaːxim	约阿希姆
de_ɡauk	高克
de_pjøɐn	比约恩
de_otoː	奥托
de_haɐtiŋk	哈丁
de_aikə	埃克
de_baːtistaː	巴蒂斯塔
