Berlin,ベルリン
Hamburg,ハンブルク
Köln,ケルン
Munich,ミュンヘン
Federal Republic of Germany,ドイツ
Stuttgart,シュトゥットガルト
Frankfurt am Main,フランクフルト・アム・マイン
Düsseldorf,デュッセルドルフ
Essen,エッセン
Bremen,ブレーメン
Wiesbaden,ヴィースバーデン
Hannover,ハノーファー
Erfurt,エアフルト
Dresden,ドレスデン
Leipzig,ライプツィヒ
Kiel,キール
Mainz,マインツ
Magdeburg,マクデブルク
Saarbrücken,ザールブリュッケン
Nürnberg,ニュルンベルク
Worms,ヴォルムス
Witten,ヴィッテン
Bremerhaven,ブレーマーハーフェン
Braunschweig,ブラウンシュヴァイク
Bonn,ボン
Bochum,ボーフム
Bielefeld,ビーレフェルト
Gera,ゲーラ
Gelsenkirchen,ゲルゼンキルヒェン
Baden-Baden,バーデン＝バーデン
Augsburg,アウクスブルク
Schwerin,シュヴェリーン
Wetzlar,ヴェッツラー
Solingen,ゾーリンゲン
Ulm,ウルム
Trier,トリーア
Würzburg,ヴュルツブルク
Hamm,ハム
Halle (Saale),ハレ
Heilbronn,ハイルブロン
Heidelberg,ハイデルベルク
Chemnitz,ケムニッツ
Göttingen,ゲッティンゲン
Fürth,フュルト
Freiburg,フライブルク
Darmstadt,ダルムシュタット
Erlangen,エアランゲン
Duisburg,デュースブルク
Dortmund,ドルトムント
Koblenz,コブレンツ
Leverkusen,レバークーゼン
Kassel,カッセル
Karlsruhe,カールスルーエ
Krefeld,クレーフェルト
Konstanz,コンスタンツ
Jena,イェーナ
Mannheim,マンハイム
Ludwigshafen am Rhein,ルートヴィヒスハーフェン
Lübeck,リューベック
Neuss,ノイス
Salzgitter,ザルツギッター
Rostock,ロストック
Oberhausen,オーバーハウゼン
Paderborn,パーダーボルン
Osnabrück,オスナブリュック
Oldenburg,オルデンブルク
Münster,ミュンスター
Mönchengladbach,メンヒェングラートバッハ
Potsdam,ポツダム
Pforzheim,プフォルツハイム
Regensburg,レーゲンスブルク
Zugspitze,ツークシュピッツェ
Aachen,アーヘン
Wolfsburg,ヴォルフスブルク
Wilhelmshaven,ヴィルヘルムスハーフェン
Brandenburg,ブランデンブルク州
Brandenburg an der Havel,ブランデンブルク・アン・デア・ハーフェル
Bottrop,ボトロップ
Bayreuth,バイロイト
Bavaria,バイエルン
Bamberg,バンベルク
Ahlen,アーレン
Görlitz,ゲルリッツ
Gießen,ギーセン
Baden-Württemberg,バーデン＝ヴュルテンベルク州
Speyer,シュパイアー
Schleswig-Holstein,シュレースヴィヒ＝ホルシュタイン州
Weimar,ヴァイマル
Stralsund,シュトラールズント
Stolberg,シュトルベルク
Sindelfingen,ジンデルフィンゲン
Siegen,ジーゲン
Uetersen,ユーテルゼン
Tübingen,テュービンゲン
Zwickau,ツヴィッカウ
Zittau,ツィッタウ
Wuppertal,ヴッパータール
Hanau am Main,ハーナウ
Hameln,ハーメルン
Altona,ハンブルク＝アルトナ
Hagen,ハーゲン
Hildesheim,ヒルデスハイム
Hessen,ヘッセン州
Herne,ヘルネ
Flensburg,フレンスブルク
Eschweiler,エシュヴァイラー
Cottbus,コトブス
Greifswald,グライフスヴァルト
Garmisch-Partenkirchen,ガルミッシュ＝パルテンキルヒェン
Fulda,フルダ
Frankfurt (Oder),フランクフルト
Dessau,デッサウ
Delmenhorst,デルメンホルスト
Eisenach,アイゼナハ
Kaiserslautern,カイザースラウテルン
Landshut,ランツフート
Iserlohn,イーザーローン
Ingolstadt,インゴルシュタット
Marburg an der Lahn,マールブルク
Lünen,リューネン
Lüneburg,リューネブルク
Ludwigsburg,ルートヴィヒスブルク
Lower Saxony,ニーダーザクセン州
Neumünster,ノイミュンスター
Reutlingen,ロイトリンゲン
Remscheid,レムシャイト
Saxony-Anhalt,ザクセン＝アンハルト州
Rüsselsheim,リュッセルスハイム
Nordrhein-Westfalen,ノルトライン＝ヴェストファーレン州
Meissen,マイセン
Mecklenburg-Western Pomerania,メクレンブルク＝フォアポンメルン州
Plauen,プラウエン
Passau,パッサウ
Recklinghausen,レックリングハウゼン
Frankfurt Airport,フランクフルト空港
Munich International Airport,ミュンヘン空港
Aalen,アーレン
Cologne Bonn Airport,ケルン・ボン空港
Western Europe,西ヨーロッパ
Wismar,ヴィスマール
Wiesloch,ヴィースロッホ
Berlin Brandenburg Airport,ベルリン・ブランデンブルク国際空港
Eisleben Lutherstadt,アイスレーベン
Bruchsal,ブルッフザール
Bremen,ブレーメン州
Böblingen,ベーブリンゲン
Bingen am Rhein,ビンゲン・アム・ライン
Land Berlin,ベルリン
Bensheim,ベンスハイム
Bautzen,バウツェン
Altenburg,アルテンブルク
Göppingen,ゲッピンゲン
Bad Salzuflen,バート・ザルツウフレン
Bad Oeynhausen,バート・エーンハウゼン
Aschaffenburg,アシャッフェンブルク
Ansbach,アンスバッハ
Andernach,アンダーナッハ
Starnberger See,シュタルンベルク湖
Wernigerode,ヴェルニゲローデ
Weinheim,ヴァインハイム
Weil am Rhein,ヴァイル・アム・ライン
Suhl,ズール
Strausberg,シュトラウスベルク
Siegburg,ジークブルク
Völklingen,フェルクリンゲン
Verden,フェルデン
Zweibrücken,ツヴァイブリュッケン
Xanten,クサンテン
Free and Hanseatic City of Hamburg,ハンブルク
Halle,ハレ
Herford,ヘルフォルト
Helmstedt,ヘルムシュテット
Dachau,ダッハウ
Cuxhaven,クックスハーフェン
Crailsheim,クライルスハイム
Coburg,コーブルク
Chiemsee,キーム湖
Celle,ツェレ
Buchen in Odenwald,ブーヒェン
Grevenbroich,グレーヴェンブローホ
Gotha,ゴータ
Goslar,ゴスラー
Füssen,フュッセン
Friedrichshafen,フリードリヒスハーフェン
Freising,フライジング
Freiberg,フライベルク
Donaueschingen,ドナウエッシンゲン
Detmold,デトモルト
Emden,エムデン
Eberswalde,エーベルスヴァルデ
Hoyerswerda,ホイエルスヴェルダ
Hof,ホーフ
Kleve,クレーフェ
Lingen,リンゲン
Leimen,ライメン
Kehl,ケール
Köthen,ケーテン
Landsberg am Lech,ランツベルク・アム・レヒ
Kulmbach,クルムバッハ
Ilmenau,イルメナウ
Idar-Oberstein,イダー＝オーバーシュタイン
Lübbecke,リュベッケ
Lorsch,ロルシュ
Nienburg,ニーンブルク/ヴェーザー
Neuwied,ノイヴィート
Neu-Ulm,ノイウルム
Neunkirchen,ノインキルヒェン
Rheinland-Pfalz,ラインラント＝プファルツ州
Saxony,ザクセン州
Saarlouis,ザールルイ
Saarland,ザールラント州
Saalfeld,ザールフェルト
Ruhrgebiet,ルール地方
Rothenburg ob der Tauber,ローテンブルク・オプ・デア・タウバー
Rosenheim,ローゼンハイム
Nördlingen,ネルトリンゲン
Nordhausen,ノルトハウゼン
Oranienburg,オラニエンブルク
Offenburg,オッフェンブルク
Neuburg an der Donau,ノイブルク・アン・デア・ドナウ
Neubrandenburg,ノイブランデンブルク
Neckarsulm,ネッカーズルム
Naumburg,ナウムブルク
Müritz,ミューリッツ湖
Hannoversch Münden,ハン・ミュンデン
Mühlheim am Main,ミュールハイム・アム・マイン
Minden,ミンデン
Memmingen,メミンゲン
Prenzlauer Berg,プレンツラウアー・ベルク
Rehau,レーアウ
Quedlinburg,クヴェードリンブルク
Hamburg Airport,ハンブルク空港
Düsseldorf International Airport,デュッセルドルフ空港
Neubrandenburg Airport,ノイブランデンブルク空港
Wolgast,ヴォルガスト
Fehmarn,フェーマルン島
Weilheim-Schongau,ヴァイルハイム＝ショーンガウ郡
Mörfelden-Walldorf,メルフェルデン＝ヴァルドルフ
Bergstraße,ベルクシュトラーセ郡
Bremervörde,ブレーマーフェルデ
Bitterfeld-Wolfen,ビターフェルト
Bietigheim-Bissingen,ビーティッヒハイム＝ビッシンゲン
Berchtesgaden,ベルヒテスガーデン
Baunatal,バウナタール
Ammersee,アマー湖
Alsdorf,アルスドルフ
Aerzen,アエルツェン
Achim,アヒム
Genthin,ゲンティン
Geesthacht,ゲーストハハト
Bad Vilbel,バート・フィルベル
Bad Soden am Taunus,バート・ゾーデン・アム・タウヌス
Bad Neuenahr-Ahrweiler,バート・ノイェンアール＝アールヴァイラー
Bad Münder am Deister,バート・ミュンダー・アム・ダイスター
Bad Mergentheim,バート・メルゲントハイム
Bad Kreuznach,バート・クロイツナハ
Bad Gandersheim,バート・ガンダースハイム
Angermünde,アンガーミュンデ
Bad Staffelstein,バート・シュタッフェルシュタイン
Stade,シュターデ
